Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Melgaço ;PA;1504505
Naturalizados brasileiros;0;Melgaço ;PA;1504505
Estrangeiros;0;Melgaço ;PA;1504505
