Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Nova Timboteua ;PA;1505007
Proteção integral;-;-;Nova Timboteua ;PA;1505007
Proteção integral e uso sustentável;-;-;Nova Timboteua ;PA;1505007
