Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;X;X;Santarém Novo ;PA;1506906
Proteção integral;X;X;Santarém Novo ;PA;1506906
Proteção integral e uso sustentável;X;X;Santarém Novo ;PA;1506906
