Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Ferreira Gomes ;AP;1600238
Naturalizados brasileiros;0;Ferreira Gomes ;AP;1600238
Estrangeiros;0;Ferreira Gomes ;AP;1600238
