Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Terra Alta ;PA;1507961
1980;;Terra Alta ;PA;1507961
1991;;Terra Alta ;PA;1507961
2000;8261;Terra Alta ;PA;1507961
2010;10262;Terra Alta ;PA;1507961
2022;10400;Terra Alta ;PA;1507961
