Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;174;Ferreira Gomes ;AP;1600238
Porcentagem da população que reside em Unidades de Conservação;2,61;Ferreira Gomes ;AP;1600238
