Lugar;Pessoas;Município;Sigla UF;Código do Município
Santa Catarina;51;Nova Timboteua ;PA;1505007
Maranhão;33;Nova Timboteua ;PA;1505007
Rio de Janeiro;14;Nova Timboteua ;PA;1505007
Amapá;12;Nova Timboteua ;PA;1505007
Mato Grosso;12;Nova Timboteua ;PA;1505007
São Paulo;11;Nova Timboteua ;PA;1505007
Amazonas;9;Nova Timboteua ;PA;1505007
Ceará;8;Nova Timboteua ;PA;1505007
Paraíba;6;Nova Timboteua ;PA;1505007
Exterior;3;Nova Timboteua ;PA;1505007
