Municípios;Código municipal;UF;% do total geral
Alvarães;1300029;AM;58,59
Alvarenga;3102209;MG;79,31
Álvares Florence;3501202;SP;82,91
Álvares Machado;3501301;SP;95,84
Álvaro de Carvalho;3501400;SP;96,15
Alvinlândia;3501509;SP;99,3
Alvinópolis;3102308;MG;83,73
Alvorada;1700707;TO;93,98
Alvorada;4300604;RS;98,73
Alvorada D'Oeste;1100346;RO;60,39
Alvorada de Minas;3102407;MG;67,42
Alvorada do Gurguéia;2200459;PI;40,36
Alvorada do Norte;5200803;GO;86,76
Alvorada do Sul;4100806;PR;94,16
Amajari;1400027;RR;38,02
Amambai;5000609;MS;71,52
Amapá;1600105;AP;84,62
Amapá do Maranhão;2100550;MA;68,35
Amaporã;4100905;PR;87,84
Amaraji;2600906;PE;78,68
Amaral Ferrador;4300638;RS;55,37
Amaralina;5200829;GO;48,83
Amarante;2200509;PI;50,33
Amarante do Maranhão;2100600;MA;49,48
Amargosa;2901007;BA;81,9
Amaturá;1300060;AM;49,49
Amélia Rodrigues;2901106;BA;95,73
América Dourada;2901155;BA;88,4
Americana;3501608;SP;99,92
Americano do Brasil;5200852;GO;94,07
Américo Brasiliense;3501707;SP;99,82
Américo de Campos;3501806;SP;93,05
Ametista do Sul;4300646;RS;73,35
Amontada;2300754;CE;49,07
Amorinópolis;5200902;GO;85,02
Amparo;2500734;PB;63,01
Amparo;3501905;SP;98,93
Amparo do São Francisco;2800100;SE;98,52
Amparo do Serra;3102506;MG;78,53
Ampére;4101002;PR;81,23
Anadia;2700201;AL;85,05
Anagé;2901205;BA;31,63
Anahy;4101051;PR;86,02
Anajás;1500701;PA;40,9
Anajatuba;2100709;MA;37,96
Analândia;3502002;SP;94,22
Anamã;1300086;AM;61,44
Ananás;1701002;TO;81,9
Ananindeua;1500800;PA;98,17
Anápolis;5201108;GO;98,98
Anapu;1500859;PA;50,38
Anapurus;2100808;MA;38,96
Anastácio;5000708;MS;86,17
Anaurilândia;5000807;MS;68,73
Anchieta;3200409;ES;98,28
Anchieta;4200804;SC;80,23
Andaraí;2901304;BA;78,99
Andirá;4101101;PR;97,19
Andorinha;2901353;BA;56,23
Andradas;3102605;MG;96,44
Andradina;3502101;SP;96,42
André da Rocha;4300661;RS;86,73
Andrelândia;3102803;MG;85,61
Angatuba;3502200;SP;92,06
Angelândia;3102852;MG;62,45
Angélica;5000856;MS;88,89
Angelim;2601003;PE;69,82
Angelina;4200903;SC;93,63
Angical;2901403;BA;56,95
Angical do Piauí;2200608;PI;86,51
Angico;1701051;TO;72,48
Angicos;2400802;RN;90
Angra dos Reis;3300100;RJ;99,16
Anguera;2901502;BA;72,86
Ângulo;4101150;PR;92,79
Anhanguera;5201207;GO;98,88
Anhembi;3502309;SP;97,47
Anhumas;3502408;SP;92,91
Anicuns;5201306;GO;89,54
Anísio de Abreu;2200707;PI;63,09
Anita Garibaldi;4201000;SC;82,62
Anitápolis;4201109;SC;90,91
Anori;1300102;AM;68,27
Anta Gorda;4300703;RS;91,23
Antas;2901601;BA;83,27
Antonina;4101200;PR;94,89
Antonina do Norte;2300804;CE;83,73
Antônio Almeida;2200806;PI;81,83
Antônio Cardoso;2901700;BA;52,68
Antônio Carlos;3102902;MG;87,38
Antônio Carlos;4201208;SC;98,15
