Municípios;Código municipal;UF;% do total geral
Alvarães;1300029;AM;49,37
Alvarenga;3102209;MG;80,35
Álvares Florence;3501202;SP;81,02
Álvares Machado;3501301;SP;89,96
Álvaro de Carvalho;3501400;SP;78,6
Alvinlândia;3501509;SP;78,55
Alvinópolis;3102308;MG;77,25
Alvorada;1700707;TO;90,53
Alvorada;4300604;RS;88,78
Alvorada D'Oeste;1100346;RO;85,68
Alvorada de Minas;3102407;MG;67,52
Alvorada do Gurguéia;2200459;PI;81,56
Alvorada do Norte;5200803;GO;77,06
Alvorada do Sul;4100806;PR;85,94
Amajari;1400027;RR;46,88
Amambai;5000609;MS;76,09
Amapá;1600105;AP;72,46
Amapá do Maranhão;2100550;MA;77,88
Amaporã;4100905;PR;70,69
Amaraji;2600906;PE;73,31
Amaral Ferrador;4300638;RS;73,41
Amaralina;5200829;GO;68,26
Amarante;2200509;PI;69,61
Amarante do Maranhão;2100600;MA;63,79
Amargosa;2901007;BA;76,55
Amaturá;1300060;AM;53,92
Amélia Rodrigues;2901106;BA;81,23
América Dourada;2901155;BA;70,69
Americana;3501608;SP;93,4
Americano do Brasil;5200852;GO;69,31
Américo Brasiliense;3501707;SP;91,86
Américo de Campos;3501806;SP;83,61
Ametista do Sul;4300646;RS;82,23
Amontada;2300754;CE;72,81
Amorinópolis;5200902;GO;84,27
Amparo;2500734;PB;78,79
Amparo;3501905;SP;90,49
Amparo do São Francisco;2800100;SE;71,43
Amparo do Serra;3102506;MG;75
Ampére;4101002;PR;91,07
Anadia;2700201;AL;59,48
Anagé;2901205;BA;81,62
Anahy;4101051;PR;78,41
Anajás;1500701;PA;52,75
Anajatuba;2100709;MA;66,47
Analândia;3502002;SP;87,1
Anamã;1300086;AM;75,81
Ananás;1701002;TO;80,28
Ananindeua;1500800;PA;88,54
Anápolis;5201108;GO;90,99
Anapu;1500859;PA;75,82
Anapurus;2100808;MA;63,63
Anastácio;5000708;MS;83,02
Anaurilândia;5000807;MS;81,65
Anchieta;3200409;ES;89,52
Anchieta;4200804;SC;91,67
Andaraí;2901304;BA;69,51
Andirá;4101101;PR;86,77
Andorinha;2901353;BA;71,06
Andradas;3102605;MG;86,7
Andradina;3502101;SP;89,17
André da Rocha;4300661;RS;83,3
Andrelândia;3102803;MG;74,64
Angatuba;3502200;SP;89,29
Angelândia;3102852;MG;83,06
Angélica;5000856;MS;88,96
Angelim;2601003;PE;71,65
Angelina;4200903;SC;86,49
Angical;2901403;BA;71,92
Angical do Piauí;2200608;PI;75,17
Angico;1701051;TO;83,16
Angicos;2400802;RN;78,63
Angra dos Reis;3300100;RJ;88,57
Anguera;2901502;BA;74,18
Ângulo;4101150;PR;79,38
Anhanguera;5201207;GO;96,37
Anhembi;3502309;SP;84,01
