Municípios;Código municipal;UF;% do total geral
Alvarães;1300029;AM;90,03
Alvarenga;3102209;MG;76,01
Álvares Florence;3501202;SP;68,69
Álvares Machado;3501301;SP;64,42
Álvaro de Carvalho;3501400;SP;55,91
Alvinlândia;3501509;SP;62,07
Alvinópolis;3102308;MG;74,62
Alvorada;1700707;TO;63,01
Alvorada;4300604;RS;68,25
Alvorada D'Oeste;1100346;RO;76,41
Alvorada de Minas;3102407;MG;85,74
Alvorada do Gurguéia;2200459;PI;88,56
Alvorada do Norte;5200803;GO;65,31
Alvorada do Sul;4100806;PR;58,81
Amajari;1400027;RR;77,93
Amambai;5000609;MS;61,61
Amapá;1600105;AP;79,93
Amapá do Maranhão;2100550;MA;91,46
Amaporã;4100905;PR;74,67
Amaraji;2600906;PE;73,9
Amaral Ferrador;4300638;RS;84,99
Amaralina;5200829;GO;76,54
Amarante;2200509;PI;89,87
Amarante do Maranhão;2100600;MA;82,95
Amargosa;2901007;BA;74,19
Amaturá;1300060;AM;91,04
Amélia Rodrigues;2901106;BA;82,93
América Dourada;2901155;BA;83,92
Americana;3501608;SP;51,7
Americano do Brasil;5200852;GO;68,26
Américo Brasiliense;3501707;SP;56,69
Américo de Campos;3501806;SP;57,52
Ametista do Sul;4300646;RS;79,2
Amontada;2300754;CE;77,65
Amorinópolis;5200902;GO;72,92
Amparo;2500734;PB;83,08
Amparo;3501905;SP;55,12
Amparo do São Francisco;2800100;SE;82,48
Amparo do Serra;3102506;MG;79,44
Ampére;4101002;PR;65,36
Anadia;2700201;AL;76
Anagé;2901205;BA;89,25
Anahy;4101051;PR;64,16
Anajás;1500701;PA;89,2
Anajatuba;2100709;MA;95,18
Analândia;3502002;SP;43,88
Anamã;1300086;AM;86,52
Ananás;1701002;TO;74,96
Ananindeua;1500800;PA;65,13
Anápolis;5201108;GO;49,4
Anapu;1500859;PA;73,23
Anapurus;2100808;MA;91,26
Anastácio;5000708;MS;66,29
Anaurilândia;5000807;MS;60,74
Anchieta;3200409;ES;73,99
Anchieta;4200804;SC;64,56
Andaraí;2901304;BA;80,03
Andirá;4101101;PR;59,53
Andorinha;2901353;BA;79,27
Andradas;3102605;MG;52,67
Andradina;3502101;SP;53,31
André da Rocha;4300661;RS;70,94
Andrelândia;3102803;MG;73,51
Angatuba;3502200;SP;61,33
Angelândia;3102852;MG;74,55
Angélica;5000856;MS;59,94
Angelim;2601003;PE;83,65
Angelina;4200903;SC;85,19
Angical;2901403;BA;86,83
Angical do Piauí;2200608;PI;83,16
Angico;1701051;TO;80,7
Angicos;2400802;RN;71,48
Angra dos Reis;3300100;RJ;63,62
Anguera;2901502;BA;89,47
Ângulo;4101150;PR;60,72
Anhanguera;5201207;GO;82,96
Anhembi;3502309;SP;46,99
Anhumas;3502408;SP;58
Anicuns;5201306;GO;62,3
Anísio de Abreu;2200707;PI;87,56
Anita Garibaldi;4201000;SC;79,69
Anitápolis;4201109;SC;82,37
Anori;1300102;AM;91,44
Anta Gorda;4300703;RS;79,28
Antas;2901601;BA;85,93
Antonina;4101200;PR;81,09
Antonina do Norte;2300804;CE;71,11
Antônio Almeida;2200806;PI;85,12
Antônio Cardoso;2901700;BA;92,63
Antônio Carlos;3102902;MG;82,18
Antônio Carlos;4201208;SC;71,81
Antônio Dias;3103009;MG;70,67
Antônio Gonçalves;2901809;BA;80,55
Antônio João;5000906;MS;73,75
Antônio Martins;2400901;RN;78,2
Antônio Olinto;4101309;PR;90,75
Antônio Prado;4300802;RS;75,85
Antônio Prado de Minas;3103108;MG;64,94
Aparecida;2500775;PB;71,01
Aparecida;3502507;SP;59,71
Aparecida d'Oeste;3502606;SP;64,36
Aparecida de Goiânia;5201405;GO;45,19
Aparecida do Rio Doce;5201454;GO;53,69
Aparecida do Rio Negro;1701101;TO;75,08
Aparecida do Taboado;5001003;MS;44,03
Aperibé;3300159;RJ;71,26
Apiacá;3200508;ES;63,58
Apiacás;5100805;MT;66,14
Apiaí;3502705;SP;76,5
Apicum-Açu;2100832;MA;86,63
Apiúna;4201257;SC;67,92
Apodi;2401008;RN;63,55
Aporá;2901908;BA;87,08
Aporé;5201504;GO;52,62
Apuarema;2901957;BA;79,71
Apucarana;4101408;PR;51,8
Apuí;1300144;AM;73,8
Apuiarés;2300903;CE;79,03
Aquidabã;2800209;SE;78,34
Aquidauana;5001102;MS;60,36
Aquiraz;2301000;CE;73,64
Arabutã;4201273;SC;74,41
Araçagi;2500809;PB;85,84
Araçaí;3103207;MG;72,73
Aracaju;2800308;SE;54,26
Araçariguama;3502754;SP;50,4
Araçás;2902054;BA;80,95
Aracati;2301109;CE;76,75
Aracatu;2902005;BA;90,56
Araçatuba;3502804;SP;52,43
Araci;2902104;BA;82,11
Aracitaba;3103306;MG;83,35
Aracoiaba;2301208;CE;81,65
Araçoiaba;2601052;PE;81,97
Araçoiaba da Serra;3502903;SP;71,26
Aracruz;3200607;ES;64,12
Araçu;5201603;GO;70,31
Araçuaí;3103405;MG;64,7
Aragarças;5201702;GO;65,91
Aragoiânia;5201801;GO;52,77
Aragominas;1701309;TO;79,64
Araguacema;1701903;TO;78,43
Araguaçu;1702000;TO;63,51
Araguaiana;5101001;MT;74,47
Araguaína;1702109;TO;55,04
Araguainha;5101209;MT;66,59
Araguanã;1702158;TO;69,75
Araguanã;2100873;MA;86,18
Araguapaz;5202155;GO;68,96
Araguari;3103504;MG;47,41
Araguatins;1702208;TO;72,92
Araioses;2100907;MA;90,49
Aral Moreira;5001243;MS;57,24
Aramari;2902203;BA;87,9
Arambaré;4300851;RS;74,32
Arame;2100956;MA;83,93
Aramina;3503000;SP;54,3
Arandu;3503109;SP;53,29
Arantina;3103603;MG;83,54
Arapeí;3503158;SP;61,69
Arapiraca;2700300;AL;59,51
Arapoema;1702307;TO;73,74
Araponga;3103702;MG;74,94
Arapongas;4101507;PR;47,84
Araporã;3103751;MG;45,33
