"CD_MUN";"NM_MUN";"V00001";"V00002";"V00003";"V00004";"V00005";"V00006";"V00007";"V00008";"V00009";"V00010";"V00011";"V00012";"V00013";"V00014";"V00015";"V00016";"V00017";"V00018";"V00019";"V00020";"V00021";"V00022";"V00023";"V00024";"V00025";"V00026";"V00027";"V00028";"V00029";"V00030";"V00031";"V00032";"V00033";"V00034";"V00035";"V00036";"V00037";"V00038";"V00039";"V00040";"V00041";"V00042";"V00043";"V00044";"V00045";"V00046";"V00047";"V00048";"V00049";"V00050";"V00051";"V00052";"V00053";"V00054";"V00055";"V00056";"V00057";"V00058";"V00059";"V00060";"V00061";"V00062";"V00063";"V00064";"V00065";"V00066";"V00067";"V00068";"V00069";"V00070";"V00071";"V00072";"V00073";"V00074";"V00075";"V00076";"V00077";"V00078";"V00079";"V00080";"V00081";"V00082";"V00083";"V00084";"V00085";"V00086";"V00087";"V00088";"V00089"
"3539103";"Pirapora do Bom Jesus";"6093";"6";"25";"6093";"18305";"14";"25";"2820";"0";"0";"9075";"6";"13";"9230";"3";"9";"1001";"1520";"1501";"1183";"511";"194";"88";"8";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5926";"22";"134";"0";"0";"0";"3";"0";"0";"0";"0";"0";"19";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"18305";"2820";"9075";"9230";"1001";"1520";"1501";"1183";"511";"194";"88";"8";"0";"3";"17824";"82";"384";"2725";"14";"73"
"3539202";"Pirapozinho";"9235";"6";"44";"9235";"25282";"13";"44";"2940";"0";"5";"12298";"7";"21";"12984";"4";"22";"1609";"2760";"2431";"1628";"569";"136";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9171";"26";"29";"0";"0";"0";"3";"0";"0";"0";"3";"0";"20";"0";"0";"0";"0";"0";"0";"10";"14";"0";"0";"25282";"2940";"12298";"12984";"1609";"2760";"2431";"1628";"569";"136";"20";"0";"0";"0";"25137";"76";"59";"2932";"0";"3"
"3539301";"Pirassununga";"27605";"0";"166";"27605";"73334";"14";"174";"8310";"0";"3";"35366";"3";"68";"37968";"0";"102";"5331";"8977";"6844";"4056";"1530";"499";"114";"11";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"165";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25320";"673";"1536";"29";"0";"0";"0";"0";"0";"0";"0";"0";"111";"0";"6";"0";"35";"11";"0";"0";"3";"0";"0";"73334";"8310";"35366";"37968";"5331";"8977";"6844";"4056";"1530";"499";"114";"11";"3";"0";"68292";"1892";"3057";"7656";"318";"302"
"3539400";"Piratininga";"5240";"9";"91";"5240";"14964";"32";"91";"1913";"7";"3";"7269";"20";"42";"7695";"12";"49";"758";"1519";"1420";"1010";"348";"103";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"91";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4742";"484";"6";"3";"0";"0";"7";"0";"0";"0";"0";"0";"74";"0";"6";"0";"0";"0";"0";"8";"3";"0";"0";"14964";"1913";"7269";"7695";"758";"1519";"1420";"1010";"348";"103";"6";"0";"0";"0";"13487";"1464";"6";"1675";"234";"0"
"3539509";"Pitangueiras";"11903";"3";"18";"11903";"33631";"9";"19";"4286";"0";"4";"16728";"4";"8";"16903";"0";"11";"2041";"3281";"3176";"2173";"793";"219";"65";"7";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11831";"3";"28";"24";"0";"0";"3";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"3";"0";"0";"10";"0";"0";"33631";"4286";"16728";"16903";"2041";"3281";"3176";"2173";"793";"219";"65";"7";"0";"3";"33473";"26";"57";"4273";"0";"3"
"3539608";"Planalto";"1645";"0";"0";"1645";"4386";"0";"0";"521";"0";"0";"2173";"0";"0";"2213";"0";"0";"333";"496";"417";"265";"79";"27";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1642";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4386";"521";"2173";"2213";"333";"496";"417";"265";"79";"27";"3";"0";"0";"0";"4380";"4";"0";"521";"0";"0"
"3539707";"Platina";"1133";"0";"0";"1133";"3022";"3";"0";"393";"0";"0";"1514";"0";"0";"1508";"0";"0";"238";"343";"244";"201";"79";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3022";"393";"1514";"1508";"238";"343";"244";"201";"79";"8";"0";"0";"0";"0";"3020";"0";"0";"393";"0";"0"
"3539806";"Poá";"35374";"0";"104";"35374";"103594";"10";"152";"12733";"0";"19";"49672";"6";"80";"53922";"0";"70";"5591";"9396";"9188";"6908";"2729";"905";"174";"33";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31691";"716";"2854";"53";"0";"0";"0";"0";"0";"0";"0";"0";"60";"8";"13";"0";"0";"9";"4";"0";"9";"0";"0";"103594";"12733";"49672";"53922";"5591";"9396";"9188";"6908";"2729";"905";"174";"33";"3";"0";"93387";"2082";"7920";"11273";"287";"1107"
"3539905";"Poloni";"2168";"0";"6";"2168";"5583";"0";"9";"631";"0";"0";"2741";"0";"6";"2842";"0";"3";"475";"688";"527";"298";"119";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2166";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"5583";"631";"2741";"2842";"475";"688";"527";"298";"119";"31";"0";"0";"0";"0";"5578";"4";"0";"631";"0";"0"
"3540002";"Pompéia";"7310";"0";"30";"7310";"20159";"0";"30";"2332";"0";"0";"9848";"0";"20";"10311";"0";"10";"1194";"2228";"1871";"1402";"424";"105";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7221";"50";"26";"3";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"8";"0";"16";"0";"0";"0";"0";"0";"0";"20159";"2332";"9848";"10311";"1194";"2228";"1871";"1402";"424";"105";"12";"0";"0";"0";"19981";"91";"63";"2319";"4";"5"
