"CD_MUN";"NM_MUN";"V01317";"V01318";"V01319";"V01320";"V01321";"V01322";"V01323";"V01324";"V01325";"V01326";"V01327";"V01328";"V01329";"V01330";"V01331";"V01332";"V01333";"V01334";"V01335";"V01336";"V01337";"V01338";"V01339";"V01340";"V01341";"V01342";"V01343";"V01344";"V01345";"V01346";"V01347";"V01348";"V01349";"V01350";"V01351";"V01352";"V01353";"V01354";"V01355";"V01356";"V01357";"V01358";"V01359";"V01360";"V01361";"V01362";"V01363";"V01364";"V01365";"V01366";"V01367";"V01368";"V01369";"V01370";"V01371";"V01372";"V01373";"V01374";"V01375";"V01376";"V01377";"V01378";"V01379";"V01380";"V01381";"V01382";"V01383";"V01384";"V01385";"V01386";"V01387";"V01388";"V01389";"V01390";"V01391";"V01392";"V01393";"V01394";"V01395";"V01396";"V01397";"V01398";"V01399";"V01400";"V01401";"V01402";"V01403";"V01404";"V01405";"V01406";"V01407";"V01408";"V01409";"V01410";"V01411"
"4209706";"Lebon Régis";"6774";"275";"16";"4399";"0";"3352";"132";"6";"2337";"0";"3422";"134";"9";"2062";"0";"2238";"132";"6";"1490";"0";"1105";"1133";"62";"61";"0";"4";"745";"745";"0";"0";"16";"169";"597";"841";"599";"0";"0";"22";"44";"26";"0";"0";"3";"0";"0";"9";"117";"434";"567";"347";"0";"0";"0";"0";"0";"1696";"27";"0";"1000";"0";"1553";"43";"5";"1078";"0";"2512";"122";"6";"1740";"0";"1011";"46";"0";"581";"0";"611";"0";"0";"339";"0";"2741";"122";"3";"1998";"0";"566";"4";"0";"296";"0";"2856";"116";"9";"1763";"0"
"4209805";"Leoberto Leal";"3076";"24";"0";"224";"0";"1568";"10";"0";"128";"0";"1508";"11";"0";"89";"0";"1124";"0";"0";"86";"0";"798";"326";"0";"0";"0";"0";"56";"25";"0";"0";"0";"50";"265";"458";"349";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"19";"29";"19";"0";"0";"0";"0";"0";"540";"0";"0";"41";"0";"600";"3";"0";"43";"0";"1309";"9";"0";"97";"0";"627";"0";"0";"27";"0";"177";"0";"0";"14";"0";"1391";"6";"0";"113";"0";"175";"0";"0";"4";"0";"1333";"8";"0";"78";"0"
"4209854";"Lindóia do Sul";"3605";"78";"0";"857";"0";"1790";"38";"0";"462";"0";"1815";"27";"0";"395";"0";"1324";"25";"0";"277";"0";"966";"358";"18";"0";"0";"0";"202";"71";"0";"0";"0";"22";"240";"540";"508";"0";"4";"6";"6";"0";"0";"0";"0";"0";"0";"0";"35";"86";"87";"39";"0";"0";"0";"0";"0";"583";"4";"0";"198";"0";"558";"21";"0";"271";"0";"1536";"29";"0";"293";"0";"928";"3";"0";"88";"0";"183";"3";"0";"70";"0";"1607";"35";"0";"389";"0";"211";"0";"0";"73";"0";"1604";"21";"0";"319";"0"
"4209904";"Lontras";"11615";"173";"3";"1052";"4";"5730";"86";"0";"577";"0";"5885";"76";"0";"466";"3";"4210";"58";"0";"375";"0";"2628";"1582";"31";"7";"0";"0";"250";"114";"0";"0";"0";"198";"1193";"1636";"1165";"0";"0";"5";"15";"4";"0";"0";"0";"0";"0";"0";"21";"124";"132";"30";"0";"0";"0";"0";"0";"2412";"30";"0";"233";"0";"2459";"35";"0";"270";"0";"4848";"69";"0";"447";"0";"1896";"6";"0";"59";"0";"835";"0";"0";"73";"0";"4894";"75";"0";"487";"0";"808";"0";"0";"69";"0";"5076";"62";"0";"380";"3"
"4210001";"Luiz Alves";"9628";"166";"3";"1869";"0";"4838";"77";"0";"983";"0";"4790";"72";"0";"886";"0";"3327";"55";"0";"578";"0";"2071";"1256";"29";"11";"0";"0";"382";"189";"0";"0";"0";"138";"982";"1285";"903";"0";"0";"18";"11";"4";"0";"0";"0";"0";"0";"0";"60";"250";"200";"29";"0";"0";"0";"0";"0";"1892";"10";"0";"486";"0";"2086";"37";"0";"571";"0";"4062";"64";"0";"711";"0";"1588";"7";"0";"84";"0";"671";"0";"0";"144";"0";"4167";"72";"0";"833";"0";"607";"0";"0";"146";"0";"4183";"62";"0";"736";"0"
"4210035";"Luzerna";"5094";"60";"0";"626";"0";"2484";"25";"0";"308";"0";"2610";"12";"0";"317";"0";"2031";"10";"0";"224";"0";"1144";"887";"3";"0";"0";"0";"101";"116";"0";"0";"0";"72";"451";"742";"754";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"11";"74";"85";"21";"0";"0";"0";"0";"0";"772";"4";"0";"141";"0";"899";"0";"0";"152";"0";"2157";"25";"0";"274";"0";"1266";"3";"0";"43";"0";"258";"0";"0";"29";"0";"2222";"18";"0";"263";"0";"268";"0";"0";"37";"0";"2342";"9";"0";"272";"0"
"4210050";"Macieira";"1324";"17";"0";"436";"0";"684";"11";"0";"214";"0";"640";"3";"0";"222";"0";"492";"8";"0";"145";"0";"378";"114";"6";"0";"0";"0";"99";"45";"0";"0";"0";"21";"102";"192";"175";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"3";"31";"68";"35";"0";"0";"0";"0";"0";"261";"0";"0";"94";"0";"218";"0";"0";"94";"0";"536";"7";"0";"181";"0";"309";"4";"0";"67";"0";"87";"0";"0";"27";"0";"597";"8";"0";"186";"0";"82";"0";"0";"31";"0";"558";"3";"0";"189";"0"
"4210100";"Mafra";"44914";"695";"44";"9290";"49";"21896";"399";"22";"4827";"21";"23018";"237";"8";"4459";"27";"16270";"304";"11";"3388";"15";"9414";"6852";"189";"67";"3";"4";"2081";"1283";"4";"6";"37";"715";"4069";"6600";"4772";"0";"3";"39";"88";"37";"0";"0";"0";"0";"3";"9";"112";"920";"1343";"874";"0";"4";"0";"0";"0";"8424";"32";"0";"1645";"16";"9346";"113";"6";"2197";"10";"19358";"340";"11";"3989";"7";"7782";"67";"6";"1413";"4";"2905";"3";"0";"498";"5";"18989";"373";"21";"4271";"13";"2770";"3";"0";"444";"5";"20241";"219";"8";"3954";"19"
"4210209";"Major Gercino";"2716";"54";"0";"288";"144";"1381";"22";"0";"135";"68";"1335";"27";"0";"149";"73";"1044";"18";"0";"103";"29";"705";"339";"9";"0";"0";"0";"51";"43";"15";"14";"0";"29";"201";"418";"388";"0";"0";"4";"4";"3";"0";"0";"0";"0";"0";"0";"0";"19";"40";"18";"0";"7";"11";"7";"3";"503";"9";"0";"61";"68";"452";"8";"0";"52";"41";"1133";"24";"0";"122";"27";"626";"4";"0";"38";"5";"162";"0";"0";"18";"21";"1218";"19";"0";"115";"47";"159";"0";"0";"15";"30";"1175";"25";"0";"132";"43"
"4210308";"Major Vieira";"5832";"149";"0";"1422";"0";"2954";"76";"0";"748";"0";"2878";"61";"0";"674";"0";"2081";"58";"0";"536";"0";"1410";"671";"38";"8";"0";"0";"364";"166";"0";"0";"0";"61";"539";"843";"623";"0";"0";"3";"13";"5";"0";"0";"0";"0";"0";"0";"22";"110";"220";"167";"0";"0";"0";"0";"0";"1152";"13";"0";"252";"0";"1220";"24";"0";"339";"0";"2452";"55";"0";"585";"0";"1008";"20";"0";"245";"0";"374";"0";"0";"78";"0";"2580";"70";"0";"662";"0";"366";"3";"0";"61";"0";"2512";"49";"0";"601";"0"
