Municípios;Código municipal;UF;habitantes por km²
Alvarães;1300029;AM;2,68
Alvarenga;3102209;MG;14,29
Álvares Florence;3501202;SP;10,8
Álvares Machado;3501301;SP;78,4
Álvaro de Carvalho;3501400;SP;31,29
Alvinlândia;3501509;SP;33,99
Alvinópolis;3102308;MG;25,12
Alvorada;1700707;TO;7,29
Alvorada;4300604;RS;2.612,48
Alvorada D'Oeste;1100346;RO;4,33
Alvorada de Minas;3102407;MG;11,12
Alvorada do Gurguéia;2200459;PI;2,5
Alvorada do Norte;5200803;GO;6,66
Alvorada do Sul;4100806;PR;24,34
Amajari;1400027;RR;0,49
Amambai;5000609;MS;9,38
Amapá;1600105;AP;0,94
Amapá do Maranhão;2100550;MA;14,27
Amaporã;4100905;PR;12,38
Amaraji;2600906;PE;78,05
Amaral Ferrador;4300638;RS;10,49
Amaralina;5200829;GO;2,43
Amarante;2200509;PI;14,96
Amarante do Maranhão;2100600;MA;4,98
Amargosa;2901007;BA;84,61
Amaturá;1300060;AM;2,28
Amélia Rodrigues;2901106;BA;144,65
América Dourada;2901155;BA;18,41
Americana;3501608;SP;1.771,61
Americano do Brasil;5200852;GO;39,29
Américo Brasiliense;3501707;SP;268,54
Américo de Campos;3501806;SP;23,21
Ametista do Sul;4300646;RS;81,64
Amontada;2300754;CE;35,88
Amorinópolis;5200902;GO;7,39
Amparo;2500734;PB;18,3
Amparo;3501905;SP;152,72
Amparo do São Francisco;2800100;SE;60,81
Amparo do Serra;3102506;MG;33,34
Ampére;4101002;PR;65,76
Anadia;2700201;AL;75,03
Anagé;2901205;BA;13,39
Anahy;4101051;PR;28,36
Anajás;1500701;PA;4,05
Anajatuba;2100709;MA;26,92
Analândia;3502002;SP;14,08
Anamã;1300086;AM;4,07
Ananás;1701002;TO;6,53
Ananindeua;1500800;PA;2.512,2
Anápolis;5201108;GO;426,29
Anapu;1500859;PA;2,68
Anapurus;2100808;MA;22,65
Anastácio;5000708;MS;8,28
Anaurilândia;5000807;MS;2,24
Anchieta;3200409;ES;73,19
Anchieta;4200804;SC;25,58
Andaraí;2901304;BA;8,22
Andirá;4101101;PR;84,25
Andorinha;2901353;BA;11,02
Andradas;3102605;MG;86,39
Andradina;3502101;SP;62
André da Rocha;4300661;RS;3,43
Andrelândia;3102803;MG;11,86
Angatuba;3502200;SP;23,38
Angelândia;3102852;MG;41,67
Angélica;5000856;MS;8,36
Angelim;2601003;PE;86,72
Angelina;4200903;SC;10,72
Angical;2901403;BA;8,97
Angical do Piauí;2200608;PI;30,75
Angico;1701051;TO;6,43
Angicos;2400802;RN;15,69
Angra dos Reis;3300100;RJ;205,84
Anguera;2901502;BA;58,73
Ângulo;4101150;PR;30,51
Anhanguera;5201207;GO;16,63
Anhembi;3502309;SP;7,7
Anhumas;3502408;SP;12,54
Anicuns;5201306;GO;18,96
Anísio de Abreu;2200707;PI;27,84
Anita Garibaldi;4201000;SC;14,05
Anitápolis;4201109;SC;6,65
Anori;1300102;AM;2,85
Anta Gorda;4300703;RS;24,61
Antas;2901601;BA;44,43
Antonina;4101200;PR;20,29
Antonina do Norte;2300804;CE;27,9
Antônio Almeida;2200806;PI;4,89
Antônio Cardoso;2901700;BA;37,97
Antônio Carlos;3102902;MG;20,94
Antônio Carlos;4201208;SC;47,88
Antônio Dias;3103009;MG;11,71
Antônio Gonçalves;2901809;BA;31,46
Antônio João;5000906;MS;8,14
Antônio Martins;2400901;RN;26,86
Antônio Olinto;4101309;PR;14,94
Antônio Prado;4300802;RS;37,54
Antônio Prado de Minas;3103108;MG;18,35
Aparecida;2500775;PB;27,31
Aparecida;3502507;SP;269,41
Aparecida d'Oeste;3502606;SP;22,83
Aparecida de Goiânia;5201405;GO;1.885,3
Aparecida do Rio Doce;5201454;GO;4,82
Aparecida do Rio Negro;1701101;TO;4,19
Aparecida do Taboado;5001003;MS;10,06
Aperibé;3300159;RJ;116,71
Apiacá;3200508;ES;37,24
Apiacás;5100805;MT;0,42
Apiaí;3502705;SP;25,23
Apicum-Açu;2100832;MA;51,36
Apiúna;4201257;SC;19,88
Apodi;2401008;RN;22,52
Aporá;2901908;BA;33,22
Aporé;5201504;GO;1,49
Apuarema;2901957;BA;45,83
Apucarana;4101408;PR;233,64
Apuí;1300144;AM;0,38
Apuiarés;2300903;CE;23,77
Aquidabã;2800209;SE;55,99
Aquidauana;5001102;MS;2,74
Aquiraz;2301000;CE;167,93
Arabutã;4201273;SC;32,97
Araçagi;2500809;PB;71,7
Araçaí;3103207;MG;11,63
Aracaju;2800308;SE;3.308,89
Araçariguama;3502754;SP;148,22
Araçás;2902054;BA;24,35
Aracati;2301109;CE;61,21
Aracatu;2902005;BA;9,35
Araçatuba;3502804;SP;171,47
Araci;2902104;BA;32,28
Aracitaba;3103306;MG;19,22
Aracoiaba;2301208;CE;39,68
Araçoiaba;2601052;PE;199,7
Araçoiaba da Serra;3502903;SP;127,08
Aracruz;3200607;ES;66,72
Araçu;5201603;GO;25,36
Araçuaí;3103405;MG;15,34
Aragarças;5201702;GO;27,79
