Municípios;Código municipal;UF;habitantes por km²
Brasil Novo;1501725;PA;3,88
Brasilândia;5002308;MS;2
Brasilândia de Minas;3108552;MG;5,98
Brasilândia do Sul;4103370;PR;12,74
Brasilândia do Tocantins;1703602;TO;3,06
Brasiléia;1200104;AC;6,62
Brasileira;2201960;PI;9,58
Brasília;5300108;DF;489,06
Brasília de Minas;3108602;MG;22,88
Brasnorte;5101902;MT;1,06
Braúna;3507704;SP;27,44
Braúnas;3108800;MG;11,74
Brazabrantes;5203609;GO;31,85
Brazópolis;3108909;MG;38,74
Brejão;2602407;PE;56,82
Brejetuba;3201159;ES;36,64
Brejinho;2401800;RN;198,22
Brejinho;2602506;PE;72,8
Brejinho de Nazaré;1703701;TO;2,74
Brejo;2102101;MA;31,79
Brejo Alegre;3507753;SP;24,27
Brejo da Madre de Deus;2602605;PE;63,81
Brejo de Areia;2102150;MA;9,35
Brejo do Cruz;2502805;PB;33,92
Brejo do Piauí;2201988;PI;1,72
Brejo dos Santos;2502904;PB;61,18
Brejo Grande;2800704;SE;55,43
Brejo Grande do Araguaia;1501758;PA;5,26
Brejo Santo;2302503;CE;78,04
Brejões;2904308;BA;24,96
Brejolândia;2904407;BA;4,05
Breu Branco;1501782;PA;11,6
Breves;1501808;PA;11,18
Britânia;5203807;GO;3,9
Brochier;4302659;RS;47,14
Brodowski;3507803;SP;90,5
Brotas;3507902;SP;21,7
Brotas de Macaúbas;2904506;BA;4,67
Brumadinho;3109006;MG;60,86
Brumado;2904605;BA;31,94
Brunópolis;4202875;SC;7,4
Brusque;4202909;SC;496,65
Bueno Brandão;3109105;MG;30,64
Buenópolis;3109204;MG;5,72
Buenos Aires;2602704;PE;137,44
Buerarema;2904704;BA;67,45
Bugre;3109253;MG;25,02
Buíque;2602803;PE;38,98
Bujari;1200138;AC;4,26
Bujaru;1501907;PA;24,51
Buri;3508009;SP;16,92
Buritama;3508108;SP;52,64
Buriti;2102200;MA;20,11
Buriti Alegre;5203906;GO;11,64
Buriti Bravo;2102309;MA;14,19
Buriti de Goiás;5203939;GO;13,49
Buriti do Tocantins;1703800;TO;40,78
Buriti dos Lopes;2202000;PI;28,46
Buriti dos Montes;2202026;PI;3,05
Buriticupu;2102325;MA;21,81
Buritinópolis;5203962;GO;12,78
Buritirama;2904753;BA;4,84
Buritirana;2102358;MA;15,74
Buritis;1100452;RO;8,57
Buritis;3109303;MG;4,6
Buritizal;3508207;SP;16,35
Buritizeiro;3109402;MG;3,31
Butiá;4302709;RS;25,37
Caapiranga;1300839;AM;1,42
Caaporã;2503001;PB;140,33
Caarapó;5002407;MS;14,47
Caatiba;2904803;BA;12,11
Cabaceiras;2503100;PB;11,37
Cabaceiras do Paraguaçu;2904852;BA;74,58
Cabeceira Grande;3109451;MG;6,41
Cabeceiras;5204003;GO;6,71
Cabeceiras do Piauí;2202059;PI;16,78
Cabedelo;2503209;PB;2.226,73
Cabixi;1100031;RO;4,07
Cabo de Santo Agostinho;2602902;PE;456,77
Cabo Frio;3300704;RJ;537,34
Cabo Verde;3109501;MG;30,99
Cabrália Paulista;3508306;SP;17,91
Cabreúva;3508405;SP;180,65
Cabrobó;2603009;PE;18,26
Caçador;4203006;SC;74,96
Caçapava;3508504;SP;260,72
Caçapava do Sul;4302808;RS;10,67
Cacaulândia;1100601;RO;2,12
Cacequi;4302907;RS;4,7
Cáceres;5102504;MT;3,66
Cachoeira;2904902;BA;74,07
Cachoeira Alta;5204102;GO;6,95
Cachoeira da Prata;3109600;MG;60,17
Cachoeira de Goiás;5204201;GO;3,31
Cachoeira de Minas;3109709;MG;39,06
Cachoeira de Pajeú;3102704;MG;13,1
Cachoeira do Arari;1502004;PA;7,74
Cachoeira do Piriá;1501956;PA;8,11
Cachoeira do Sul;4303004;RS;21,43
Cachoeira dos Índios;2503308;PB;47,36
Cachoeira Dourada;3109808;MG;11,4
Cachoeira Dourada;5204250;GO;14,73
Cachoeira Grande;2102374;MA;13,76
Cachoeira Paulista;3508603;SP;109,6
Cachoeiras de Macacu;3300803;RJ;59,64
Cachoeirinha;1703826;TO;5,58
Cachoeirinha;2603108;PE;111,01
Cachoeirinha;4303103;RS;3.112,48
Cachoeiro de Itapemirim;3201209;ES;214,89
Cacimba de Areia;2503407;PB;15,45
Cacimba de Dentro;2503506;PB;97,32
Cacimbas;2503555;PB;58,22
Cacimbinhas;2701209;AL;37,21
Cacique Doble;4303202;RS;22,56
Cacoal;1100049;RO;22,91
Caconde;3508702;SP;36,52
Caçu;5204300;GO;6,11
Caculé;2905008;BA;36,76
Caém;2905107;BA;19,2
Caetanópolis;3109907;MG;73,28
Caetanos;2905156;BA;14,69
Caeté;3110004;MG;71,47
Caetés;2603207;PE;97,74
Caetité;2905206;BA;19,62
Cafarnaum;2905305;BA;27,14
Cafeara;4103404;PR;14,14
Cafelândia;3508801;SP;18,1
Cafelândia;4103453;PR;69,1
Cafezal do Sul;4103479;PR;13,34
Caiabu;3508900;SP;14,65
Caiana;3110103;MG;49,82
Caiapônia;5204409;GO;1,91
Caibaté;4303301;RS;18
Caibi;4203105;SC;36,42
Caiçara;2503605;PB;53,38
Caiçara;4303400;RS;25,57
Caiçara do Norte;2401859;RN;27,89
Caiçara do Rio do Vento;2401909;RN;12,51
Caicó;2402006;RN;49,77
Caieiras;3509007;SP;973,27
Cairu;2905404;BA;39,57
Caiuá;3509106;SP;9,92
Cajamar;3509205;SP;705,47
Cajapió;2102408;MA;18,56
Cajari;2102507;MA;24,79
Cajati;3509254;SP;62,75
Cajazeiras;2503704;PB;112,38
Cajazeiras do Piauí;2202075;PI;6,05
Cajazeirinhas;2503753;PB;9,69
Cajobi;3509304;SP;51,62
Cajueiro;2701308;AL;169,82
Cajueiro da Praia;2202083;PI;29,34
Cajuri;3110202;MG;49,23
Cajuru;3509403;SP;36,1
Calçado;2603306;PE;90,97
Calçoene;1600204;AP;0,75
Caldas;3110301;MG;19,98
Caldas Brandão;2503803;PB;102,8
Caldas Novas;5204508;GO;61,31
Caldazinha;5204557;GO;17,9
Caldeirão Grande;2905503;BA;28,54
Caldeirão Grande do Piauí;2202091;PI;11,78
Califórnia;4103503;PR;61,42
Calmon;4203154;SC;5,41
Calumbi;2603405;PE;29,16
Camacan;2905602;BA;38,61
Camaçari;2905701;BA;382,43
Camacho;3110400;MG;12,73
Camalaú;2503902;PB;11,23
Camamu;2905800;BA;36,29
Camanducaia;3110509;MG;49,36
Camapuã;5002605;MS;2,18
Camaquã;4303509;RS;37,02
Camaragibe;2603454;PE;2.879,35
Camargo;4303558;RS;21,59
Cambará;4103602;PR;63,39
Cambará do Sul;4303608;RS;5,38
Cambé;4103701;PR;216,42
Cambira;4103800;PR;57,41
Camboriú;4203204;SC;489,5
Cambuci;3300902;RJ;26,18
Cambuí;3110608;MG;120,77
Cambuquira;3110707;MG;49,98
Cametá;1502103;PA;43,55
Camocim;2302602;CE;55,63
Camocim de São Félix;2603504;PE;241,9
Campanário;3110806;MG;6,61
Campanha;3110905;MG;47,48
Campestre;2701357;AL;101,12
Campestre;3111002;MG;35,82
Campestre da Serra;4303673;RS;6,02
Campestre de Goiás;5204607;GO;13,77
Campestre do Maranhão;2102556;MA;20,05
Campina da Lagoa;4103909;PR;19,74
Campina das Missões;4303707;RS;26,17
Campina do Monte Alegre;3509452;SP;32,27
Campina do Simão;4103958;PR;8,78
Campina Grande;2504009;PB;708,82
Campina Grande do Sul;4104006;PR;88,69
Campina Verde;3111101;MG;4,93
Campinaçu;5204656;GO;1,87
Campinápolis;5102603;MT;2,57
Campinas;3509502;SP;1.433,54
Campinas do Piauí;2202109;PI;6,3
Campinas do Sul;4303806;RS;19,13
Campinorte;5204706;GO;11,75
Campo Alegre;2701407;AL;102,66
Campo Alegre;4203303;SC;25,04
Campo Alegre de Goiás;5204805;GO;3,03
Campo Alegre de Lourdes;2905909;BA;10,52
Campo Alegre do Fidalgo;2202117;PI;7,02
Campo Azul;3111150;MG;7,34
Campo Belo;3111200;MG;98,97
Campo Belo do Sul;4203402;SC;7,08
Campo Bom;4303905;RS;1.038,08
Campo Bonito;4104055;PR;9,28
Campo do Brito;2801009;SE;90,06
Campo do Meio;3111309;MG;41,31
Campo do Tenente;4104105;PR;24,66
Campo Erê;4203501;SC;20,08
Campo Florido;3111408;MG;6,7
Campo Formoso;2906006;BA;9,97
Campo Grande;2401305;RN;10,92
Campo Grande;2701506;AL;47,86
Campo Grande;5002704;MS;111,11
Campo Grande do Piauí;2202133;PI;19,31
Campo Largo;4104204;PR;109,63
Campo Largo do Piauí;2202174;PI;15,52
Campo Limpo de Goiás;5204854;GO;51,76
Campo Limpo Paulista;3509601;SP;977,7
Campo Magro;4104253;PR;109,53
Campo Maior;2202208;PI;27,24
Campo Mourão;4104303;PR;132,64
Campo Novo;4304002;RS;22,54
Campo Novo de Rondônia;1100700;RO;2,57
Campo Novo do Parecis;5102637;MT;4,87
Campo Redondo;2402105;RN;47,79
Campo Verde;5102678;MT;9,35
Campos Altos;3111507;MG;18,26
Campos Belos;5204904;GO;24,63
Campos Borges;4304101;RS;15,97
Campos de Júlio;5102686;MT;1,3
Campos do Jordão;3509700;SP;161,99
Campos dos Goytacazes;3301009;RJ;119,91
Campos Gerais;3111606;MG;33,92
Campos Lindos;1703842;TO;2,68
Campos Novos;4203600;SC;21,5
Campos Novos Paulista;3509809;SP;10,1
Campos Sales;2302701;CE;23,22
Campos Verdes;5204953;GO;9,04
Camutanga;2603603;PE;198,13
Cana Verde;3111903;MG;24,78
Canaã;3111705;MG;26,96
Canaã dos Carajás;1502152;PA;24,49
Canabrava do Norte;5102694;MT;1,3
Cananéia;3509908;SP;9,93
Canapi;2701605;AL;25,81
Canápolis;2906105;BA;22,21
Canápolis;3111804;MG;12,57
Canarana;2906204;BA;41,75
Canarana;5102702;MT;2,38
Canas;3509957;SP;92,58
Canavieira;2202251;PI;1,58
Canavieiras;2906303;BA;24,49
Candeal;2906402;BA;17,36
Candeias;2906501;BA;287,45
Candeias;3112000;MG;19,43
Candeias do Jamari;1100809;RO;3,26
Candelária;4304200;RS;30,6
Candiba;2906600;BA;30,02
Cândido de Abreu;4104402;PR;10,09
Cândido Godói;4304309;RS;25,48
Cândido Mendes;2102606;MA;12,19
Cândido Mota;3510005;SP;49,43
Cândido Rodrigues;3510104;SP;40,75
Cândido Sales;2906709;BA;21,58
Candiota;4304358;RS;11,47
Candói;4104428;PR;9,9
Canela;4304408;RS;193,46
Canelinha;4203709;SC;84,9
Canguaretama;2402204;RN;120,85
Canguçu;4304507;RS;14,09
Canhoba;2801108;SE;22,09
Canhotinho;2603702;PE;57,49
Canindé;2302800;CE;24,46
Canindé de São Francisco;2801207;SE;28,73
Canitar;3510153;SP;109,35
Canoas;4304606;RS;2.658,15
Canoinhas;4203808;SC;47,92
Cansanção;2906808;BA;27,69
Cantá;1400175;RR;2,44
Cantagalo;3112059;MG;28,01
Cantagalo;3301108;RJ;25,95
Cantagalo;4104451;PR;18,74
Cantanhede;2102705;MA;31,44
Canto do Buriti;2202307;PI;4,48
Canudos;2906824;BA;4,52
Canudos do Vale;4304614;RS;19,97
Canutama;1300904;AM;0,5
Capanema;1502202;PA;113,27
Capanema;4104501;PR;48,88
Capão Alto;4203253;SC;1,97
Capão Bonito;3510203;SP;28,25
Capão Bonito do Sul;4304622;RS;3,29
Capão da Canoa;4304630;RS;646,39
Capão do Cipó;4304655;RS;3,09
Capão do Leão;4304663;RS;33,82
Caparaó;3112109;MG;38,62
Capela;2701704;AL;57
Capela;2801306;SE;71,56
Capela de Santana;4304689;RS;61,06
Capela do Alto;3510302;SP;134,59
Capela do Alto Alegre;2906857;BA;17,07
Capela Nova;3112208;MG;39,27
Capelinha;3112307;MG;41,05
Capetinga;3112406;MG;22,02
Capim;2504033;PB;87,26
Capim Branco;3112505;MG;111,85
Capim Grosso;2906873;BA;71,51
Capinópolis;3112604;MG;23,61
Capinzal;4203907;SC;95,53
Capinzal do Norte;2102754;MA;19,27
Capistrano;2302909;CE;76,16
Capitão;4304697;RS;39,49
Capitão Andrade;3112653;MG;16,43
Capitão de Campos;2202406;PI;19,42
Capitão Enéas;3112703;MG;14,52
Capitão Gervásio Oliveira;2202455;PI;3,51
Capitão Leônidas Marques;4104600;PR;52,3
Capitão Poço;1502301;PA;19,48
Capitólio;3112802;MG;19,89
Capivari;3510401;SP;155,07
Capivari de Baixo;4203956;SC;450,47
Capivari do Sul;4304671;RS;9,67
Capixaba;1200179;AC;6,09
Capoeiras;2603801;PE;54,39
Caputira;3112901;MG;47,61
Caraá;4304713;RS;25,1
Caracaraí;1400209;RR;0,44
Caracol;2202505;PI;6,4
Caracol;5002803;MS;1,71
Caraguatatuba;3510500;SP;278,12
Caraí;3113008;MG;15,73
Caraíbas;2906899;BA;12,34
Carambeí;4104659;PR;35,84
Caranaíba;3113107;MG;18,34
Carandaí;3113206;MG;48,87
Carangola;3113305;MG;88,4
Carapebus;3300936;RJ;45,42
Carapicuíba;3510609;SP;11.201,99
Caratinga;3113404;MG;69,42
Carauari;1301001;AM;1,11
Caraúbas;2402303;RN;18
Caraúbas;2504074;PB;8,1
Caraúbas do Piauí;2202539;PI;11,95
Caravelas;2906907;BA;8,65
Carazinho;4304705;RS;92,7
Carbonita;3113503;MG;5,85
Cardeal da Silva;2907004;BA;28,51
Cardoso;3510708;SP;17,75
Cardoso Moreira;3301157;RJ;24,8
Careaçu;3113602;MG;37,66
Careiro;1301100;AM;5,05
Careiro da Várzea;1301159;AM;7,47
Cariacica;3201308;ES;1.263,74
Caridade;2303006;CE;17,68
Caridade do Piauí;2202554;PI;10,09
Carinhanha;2907103;BA;11,43
Carira;2801405;SE;31,22
Cariré;2303105;CE;23,34
Cariri do Tocantins;1703867;TO;3,56
Caririaçu;2303204;CE;41,5
Cariús;2303303;CE;16,42
Carlinda;5102793;MT;4,27
Carlópolis;4104709;PR;37,45
Carlos Barbosa;4304804;RS;132,23
Carlos Chagas;3113701;MG;5,81
Carlos Gomes;4304853;RS;16,45
Carmésia;3113800;MG;10,05
Carmo;3301207;RJ;56,25
Carmo da Cachoeira;3113909;MG;22,81
Carmo da Mata;3114006;MG;30,85
Carmo de Minas;3114105;MG;42,81
Carmo do Cajuru;3114204;MG;51,51
Carmo do Paranaíba;3114303;MG;22,18
Carmo do Rio Claro;3114402;MG;19,66
Carmo do Rio Verde;5205000;GO;23,13
Carmolândia;1703883;TO;6,49
Carmópolis;2801504;SE;298,59
Carmópolis de Minas;3114501;MG;45,01
Carnaíba;2603900;PE;43,58
Carnaúba dos Dantas;2402402;RN;32,45
Carnaubais;2402501;RN;18,76
Carnaubal;2303402;CE;47,38
Carnaubeira da Penha;2603926;PE;12,18
Carneirinho;3114550;MG;4,57
Carneiros;2701803;AL;80,57
Caroebe;1400233;RR;0,88
Carolina;2102804;MA;3,84
Carpina;2604007;PE;539,35
Carrancas;3114600;MG;5,56
Carrapateira;2504108;PB;39,14
Carrasco Bonito;1703891;TO;17,43
Caruaru;2604106;PE;409,52
Carutapera;2102903;MA;19,22
Carvalhópolis;3114709;MG;41,2
Carvalhos;3114808;MG;15,67
Casa Branca;3510807;SP;32,5
Casa Grande;3114907;MG;14,04
Casa Nova;2907202;BA;7,47
Casca;4304903;RS;34,79
Cascalho Rico;3115003;MG;7,38
Cascavel;2303501;CE;86,77
Cascavel;4104808;PR;166,44
Caseara;1703909;TO;2,89
Caseiros;4304952;RS;12,72
Casimiro de Abreu;3301306;RJ;99,61
Casinhas;2604155;PE;111,91
Casserengue;2504157;PB;33,98
Cássia;3115102;MG;25,77
Cássia dos Coqueiros;3510906;SP;14,6
Cassilândia;5002902;MS;5,74
Castanhal;1502400;PA;186,78
Castanheira;5102850;MT;2,02
Castanheiras;1100908;RO;3,62
Castelândia;5205059;GO;9,98
Castelo;3201407;ES;55,66
Castelo do Piauí;2202604;PI;8,11
Castilho;3511003;SP;18,75
Castro;4104907;PR;28,87
Castro Alves;2907301;BA;34,62
Cataguases;3115300;MG;134,74
Catalão;5205109;GO;29,9
Catanduva;3511102;SP;398,46
Catanduvas;4105003;PR;18
Catanduvas;4204004;SC;53,05
Catarina;2303600;CE;20,98
Catas Altas;3115359;MG;22,8
Catas Altas da Noruega;3115409;MG;21,96
Catende;2604205;PE;154,16
Catiguá;3511201;SP;47,19
Catingueira;2504207;PB;8,51
Catolândia;2907400;BA;4,89
Catolé do Rocha;2504306;PB;55,57
Catu;2907509;BA;112,77
Catuípe;4305009;RS;14,87
Catuji;3115458;MG;16,76
Catunda;2303659;CE;13,32
Caturaí;5205208;GO;25,28
Caturama;2907558;BA;12,34
Caturité;2504355;PB;44,59
Catuti;3115474;MG;16,47
Caucaia;2303709;CE;290,77
Cavalcante;5205307;GO;1,38
Caxambu;3115508;MG;209,55
Caxambu do Sul;4204103;SC;32,75
Caxias;2103000;MA;30,18
Caxias do Sul;4305108;RS;280,52
Caxingó;2202653;PI;11,19
Ceará-Mirim;2402600;RN;109,15
Cedral;2103109;MA;35,79
Cedral;3511300;SP;63,78
Cedro;2303808;CE;30,61
Cedro;2604304;PE;70,71
Cedro de São João;2801603;SE;64,4
Cedro do Abaeté;3115607;MG;3,82
Celso Ramos;4204152;SC;13,46
Centenário;1704105;TO;1,09
Centenário;4305116;RS;20,27
Centenário do Sul;4105102;PR;29,13
Central;2907608;BA;28,83
Central de Minas;3115706;MG;30,2
Central do Maranhão;2103125;MA;22,2
Centralina;3115805;MG;31,66
Centro do Guilherme;2103158;MA;10,57
Centro Novo do Maranhão;2103174;MA;1,94
Cerejeiras;1100056;RO;5,71
Ceres;5205406;GO;103,47
Cerqueira César;3511409;SP;41,96
Cerquilho;3511508;SP;349,72
Cerrito;4305124;RS;12,86
Cerro Azul;4105201;PR;12,03
Cerro Branco;4305132;RS;24,06
Cerro Corá;2402709;RN;27,95
Cerro Grande;4305157;RS;32,39
Cerro Grande do Sul;4305173;RS;28,25
Cerro Largo;4305207;RS;77,59
Cerro Negro;4204178;SC;7,93
Cesário Lange;3511607;SP;100,05
Céu Azul;4105300;PR;9,4
Cezarina;5205455;GO;19,4
Chã de Alegria;2604403;PE;263,22
Chã Grande;2604502;PE;242,32
Chã Preta;2701902;AL;37,45
Chácara;3115904;MG;20,12
Chalé;3116001;MG;28,56
Chapada;4305306;RS;13,94
Chapada da Natividade;1705102;TO;1,9
Chapada de Areia;1704600;TO;2,28
Chapada do Norte;3116100;MG;12,44
Chapada dos Guimarães;5103007;MT;2,88
Chapada Gaúcha;3116159;MG;3,8
Chapadão do Céu;5205471;GO;5,89
Chapadão do Lageado;4204194;SC;23,63
Chapadão do Sul;5002951;MS;9,53
Chapadinha;2103208;MA;25,06
Chapecó;4204202;SC;407,76
Charqueada;3511706;SP;88,34
Charqueadas;4305355;RS;161,08
Charrua;4305371;RS;13,93
Chaval;2303907;CE;52,53
Chavantes;3557204;SP;64,7
Chaves;1502509;PA;1,66
Chiador;3116209;MG;11,07
Chiapetta;4305405;RS;9,85
Chopinzinho;4105409;PR;21,97
Choró;2303931;CE;14,86
Chorozinho;2303956;CE;68,02
Chorrochó;2907707;BA;3,52
Chuí;4305439;RS;30,94
Chupinguaia;1100924;RO;1,82
Chuvisca;4305447;RS;20,85
Cianorte;4105508;PR;97,98
Cícero Dantas;2907806;BA;37,69
Cidade Gaúcha;4105607;PR;28,45
Cidade Ocidental;5205497;GO;235,31
Cidelândia;2103257;MA;8,8
Cidreira;4305454;RS;70,13
Cipó;2907905;BA;102,36
Cipotânea;3116308;MG;36,36
Ciríaco;4305504;RS;15,12
Claraval;3116407;MG;20,46
Claro dos Poções;3116506;MG;9,95
Cláudia;5103056;MT;2,5
Cláudio;3116605;MG;47,82
Clementina;3511904;SP;41,41
Clevelândia;4105706;PR;21,42
Coaraci;2908002;BA;63,14
Coari;1301209;AM;1,22
Cocal;2202703;PI;21,8
Cocal de Telha;2202711;PI;15,83
Cocal do Sul;4204251;SC;242,94
Cocal dos Alves;2202729;PI;19,66
Cocalinho;5103106;MT;0,38
Cocalzinho de Goiás;5205513;GO;14,01
Cocos;2908101;BA;1,89
Codajás;1301308;AM;1,26
Codó;2103307;MA;26,2
Coelho Neto;2103406;MA;42,64
Coimbra;3116704;MG;66,59
Coité do Nóia;2702009;AL;121,79
Coivaras;2202737;PI;8,5
Colares;1502608;PA;33,5
Colatina;3201506;ES;85,85
Colíder;5103205;MT;10,08
Colina;3512001;SP;43,77
Colinas;2103505;MA;20,38
Colinas;4305587;RS;39,9
Colinas do Sul;5205521;GO;2,36
Colinas do Tocantins;1705508;TO;40,63
Colméia;1716703;TO;7,7
Colniza;5103254;MT;0,92
Colômbia;3512100;SP;9,1
Colombo;4105805;PR;1.175,28
Colônia do Gurguéia;2202752;PI;14,32
Colônia do Piauí;2202778;PI;7,36
Colônia Leopoldina;2702108;AL;76,06
Colorado;4105904;PR;56,18
Colorado;4305603;RS;11,38
Colorado do Oeste;1100064;RO;10,79
Coluna;3116803;MG;23,42
Combinado;1705557;TO;22,78
Comendador Gomes;3116902;MG;2,66
Comendador Levy Gasparian;3300951;RJ;80,46
Comercinho;3117009;MG;10,17
Comodoro;5103304;MT;0,85
Conceição;2504405;PB;31,45
Conceição da Aparecida;3117108;MG;29,42
Conceição da Barra;3201605;ES;23,22
Conceição da Barra de Minas;3115201;MG;13,04
Conceição da Feira;2908200;BA;126,22
Conceição das Alagoas;3117306;MG;21,18
Conceição das Pedras;3117207;MG;27,12
Conceição de Ipanema;3117405;MG;17,36
Conceição de Macabu;3301405;RJ;62,39
Conceição do Almeida;2908309;BA;55,45
Conceição do Araguaia;1502707;PA;7,65
Conceição do Canindé;2202802;PI;5,98
Conceição do Castelo;3201704;ES;32,28
Conceição do Coité;2908408;BA;66,81
Conceição do Jacuípe;2908507;BA;307,38
Conceição do Lago-Açu;2103554;MA;20,55
Conceição do Mato Dentro;3117504;MG;13,47
Conceição do Pará;3117603;MG;21,63
Conceição do Rio Verde;3117702;MG;33,92
Conceição do Tocantins;1705607;TO;1,54
Conceição dos Ouros;3117801;MG;60,37
Conchal;3512209;SP;153,73
Conchas;3512308;SP;32,68
Concórdia;4204301;SC;102,16
Concórdia do Pará;1502756;PA;38,37
Condado;2504504;PB;24,3
Condado;2604601;PE;274,27
Conde;2504603;PB;161,18
Conde;2908606;BA;25,4
Condeúba;2908705;BA;12,65
Condor;4305702;RS;13,82
Cônego Marinho;3117836;MG;4,49
Confins;3117876;MG;173,53
Confresa;5103353;MT;6,05
Congo;2504702;PB;15,19
Congonhal;3117900;MG;54,03
Congonhas;3118007;MG;173,94
Congonhas do Norte;3118106;MG;11,91
Congonhinhas;4106001;PR;15,52
Conquista;3118205;MG;10,83
Conquista D'Oeste;5103361;MT;1,4
Conselheiro Lafaiete;3118304;MG;355,5
Conselheiro Mairinck;4106100;PR;16,91
Conselheiro Pena;3118403;MG;14,03
Consolação;3118502;MG;17,54
Constantina;4305801;RS;51
Contagem;3118601;MG;3.193,2
Contenda;4106209;PR;63,97
Contendas do Sincorá;2908804;BA;4,43
Coqueiral;3118700;MG;30,47
Coqueiro Baixo;4305835;RS;11,45
Coqueiro Seco;2702207;AL;140,91
Coqueiros do Sul;4305850;RS;7,98
Coração de Jesus;3118809;MG;11,4
Coração de Maria;2908903;BA;70,54
Corbélia;4106308;PR;33,02
Cordeiro;3301504;RJ;183,84
Cordeirópolis;3512407;SP;178,18
Cordeiros;2909000;BA;14,41
Cordilheira Alta;4204350;SC;57,22
Cordisburgo;3118908;MG;9,16
Cordislândia;3119005;MG;17,82
Coreaú;2304004;CE;27,92
Coremas;2504801;PB;39,47
Corguinho;5003108;MS;1,81
Coribe;2909109;BA;5,25
Corinto;3119104;MG;9,32
Cornélio Procópio;4106407;PR;71,18
Coroaci;3119203;MG;18,89
Coroados;3512506;SP;21,88
Coroatá;2103604;MA;26,31
Coromandel;3119302;MG;8,72
Coronel Barros;4305871;RS;17,24
Coronel Bicaco;4305900;RS;12,48
Coronel Domingos Soares;4106456;PR;3,63
Coronel Ezequiel;2402808;RN;27,55
Coronel Fabriciano;3119401;MG;473,38
Coronel Freitas;4204400;SC;44,45
Coronel João Pessoa;2402907;RN;36,17
Coronel João Sá;2909208;BA;21,39
Coronel José Dias;2202851;PI;2,21
Coronel Macedo;3512605;SP;14,09
Coronel Martins;4204459;SC;19,21
Coronel Murta;3119500;MG;10,06
Coronel Pacheco;3119609;MG;21
Coronel Pilar;4305934;RS;15,21
Coronel Sapucaia;5003157;MS;13,96
Coronel Vivida;4106506;PR;34,09
Coronel Xavier Chaves;3119708;MG;24,73
Córrego Danta;3119807;MG;4,5
Córrego do Bom Jesus;3119906;MG;34,55
Córrego do Ouro;5205703;GO;5,36
Córrego Fundo;3119955;MG;60,66
Córrego Novo;3120003;MG;14
Correia Pinto;4204558;SC;24,29
Corrente;2202901;PI;8,95
Correntes;2604700;PE;53,91
Correntina;2909307;BA;2,82
Cortês;2604809;PE;99,15
Corumbá;5003207;MS;1,49
Corumbá de Goiás;5205802;GO;9,92
Corumbaíba;5205901;GO;4,92
Corumbataí;3512704;SP;15,06
Corumbataí do Sul;4106555;PR;22,88
Corumbiara;1100072;RO;2,46
Corupá;4204509;SC;37,63
Coruripe;2702306;AL;56,15
Cosmópolis;3512803;SP;386,47
Cosmorama;3512902;SP;19,74
Costa Marques;1100080;RO;2,53
Costa Rica;5003256;MS;6,26
Cotegipe;2909406;BA;3,05
Cotia;3513009;SP;846,97
Cotiporã;4305959;RS;22,2
Cotriguaçu;5103379;MT;1,16
Couto de Magalhães de Minas;3120102;MG;8,74
Couto Magalhães;1706001;TO;3,37
Coxilha;4305975;RS;6,32
Coxim;5003306;MS;5,03
Coxixola;2504850;PB;10,49
Craíbas;2702355;AL;91,07
Crateús;2304103;CE;25,62
Crato;2304202;CE;115,14
Cravinhos;3513108;SP;106,87
Cravolândia;2909505;BA;24,18
Criciúma;4204608;SC;913,26
Crisólita;3120151;MG;5,45
Crisópolis;2909604;BA;30,99
Crissiumal;4306007;RS;35,58
Cristais;3120201;MG;19,41
Cristais Paulista;3513207;SP;24,07
Cristal;4306056;RS;10,7
Cristal do Sul;4306072;RS;27,73
Cristalândia;1706100;TO;3,44
Cristalândia do Piauí;2203008;PI;6,12
Cristália;3120300;MG;6,09
Cristalina;5206206;GO;10,13
Cristiano Otoni;3120409;MG;35,12
Cristianópolis;5206305;GO;15,81
Cristina;3120508;MG;33,32
Cristinápolis;2801702;SE;74,82
Cristino Castro;2203107;PI;5,69
Cristópolis;2909703;BA;13,29
Crixás;5206404;GO;3,65
Crixás do Tocantins;1706258;TO;1,49
Croatá;2304236;CE;25,1
Cromínia;5206503;GO;10,64
Crucilândia;3120607;MG;32,51
Cruz;2304251;CE;88,6
Cruz Alta;4306106;RS;43,3
Cruz das Almas;2909802;BA;433,79
Cruz do Espírito Santo;2504900;PB;88,8
Cruz Machado;4106803;PR;10,81
Cruzália;3513306;SP;14,12
Cruzaltense;4306130;RS;9,8
Cruzeiro;3513405;SP;245,21
Cruzeiro da Fortaleza;3120706;MG;18,78
Cruzeiro do Iguaçu;4106571;PR;25,53
Cruzeiro do Oeste;4106605;PR;30,71
Cruzeiro do Sul;1200203;AC;10,46
Cruzeiro do Sul;4106704;PR;17,34
Cruzeiro do Sul;4306205;RS;74,81
Cruzeta;2403004;RN;27,06
Cruzília;3120805;MG;29,41
Cruzmaltina;4106852;PR;9,26
Cubatão;3513504;SP;787,21
Cubati;2505006;PB;46,34
Cuiabá;5103403;MT;150,41
Cuité;2505105;PB;26,87
Cuité de Mamanguape;2505238;PB;58,05
Cuitegi;2505204;PB;159,89
Cujubim;1100940;RO;3,85
Cumari;5206602;GO;5,15
Cumaru;2604908;PE;54,48
Cumaru do Norte;1502764;PA;0,82
