Municípios;Código municipal;UF;%
Alto Bela Vista;4200754;SC;sem ocorrência
Alto Boa Vista;5100359;MT;sem ocorrência
Alto Caparaó;3102050;MG;0,03
Alto do Rodrigues;2400703;RN;sem ocorrência
Alto Feliz;4300570;RS;sem ocorrência
Alto Garças;5100409;MT;sem ocorrência
Alto Horizonte;5200555;GO;0,03
Alto Jequitibá;3153509;MG;sem ocorrência
Alto Longá;2200301;PI;sem ocorrência
Alto Paraguai;5100508;MT;71,42
Alto Paraíso;1100403;RO;sem ocorrência
Alto Paraíso;4128625;PR;20,46
Alto Paraíso de Goiás;5200605;GO;99,92
Alto Paraná;4100608;PR;sem ocorrência
Alto Parnaíba;2100501;MA;3,74
Alto Piquiri;4100707;PR;sem ocorrência
Alto Rio Doce;3102100;MG;sem ocorrência
Alto Rio Novo;3200359;ES;sem ocorrência
Alto Santo;2300705;CE;sem ocorrência
Alto Taquari;5100607;MT;sem ocorrência
Altônia;4100509;PR;3,79
Altos;2200400;PI;0
Alumínio;3501152;SP;3,65
Alvarães;1300029;AM;9,2
Alvarenga;3102209;MG;sem ocorrência
Álvares Florence;3501202;SP;sem ocorrência
Álvares Machado;3501301;SP;sem ocorrência
Álvaro de Carvalho;3501400;SP;sem ocorrência
Alvinlândia;3501509;SP;sem ocorrência
Alvinópolis;3102308;MG;sem ocorrência
Alvorada;1700707;TO;sem ocorrência
Alvorada;4300604;RS;sem ocorrência
Alvorada D'Oeste;1100346;RO;0,03
Alvorada de Minas;3102407;MG;sem ocorrência
Alvorada do Gurguéia;2200459;PI;sem ocorrência
Alvorada do Norte;5200803;GO;sem ocorrência
Alvorada do Sul;4100806;PR;sem ocorrência
Amajari;1400027;RR;sem ocorrência
Amambai;5000609;MS;4,48
Amapá;1600105;AP;2,19
Amapá do Maranhão;2100550;MA;sem ocorrência
Amaporã;4100905;PR;0,17
Amaraji;2600906;PE;sem ocorrência
Amaral Ferrador;4300638;RS;sem ocorrência
Amaralina;5200829;GO;sem ocorrência
Amarante;2200509;PI;sem ocorrência
Amarante do Maranhão;2100600;MA;sem ocorrência
Amargosa;2901007;BA;sem ocorrência
Amaturá;1300060;AM;sem ocorrência
Amélia Rodrigues;2901106;BA;sem ocorrência
América Dourada;2901155;BA;sem ocorrência
Americana;3501608;SP;sem ocorrência
Americano do Brasil;5200852;GO;sem ocorrência
Américo Brasiliense;3501707;SP;sem ocorrência
Américo de Campos;3501806;SP;sem ocorrência
Ametista do Sul;4300646;RS;sem ocorrência
Amontada;2300754;CE;sem ocorrência
Amorinópolis;5200902;GO;sem ocorrência
Amparo;2500734;PB;sem ocorrência
Amparo;3501905;SP;99,32
Amparo do São Francisco;2800100;SE;sem ocorrência
Amparo do Serra;3102506;MG;sem ocorrência
Ampére;4101002;PR;sem ocorrência
Anadia;2700201;AL;sem ocorrência
Anagé;2901205;BA;sem ocorrência
Anahy;4101051;PR;sem ocorrência
Anajás;1500701;PA;99,62
Anajatuba;2100709;MA;75,07
Analândia;3502002;SP;95,84
Anamã;1300086;AM;sem ocorrência
Ananás;1701002;TO;0,22
Ananindeua;1500800;PA;5,3
Anápolis;5201108;GO;15,79
