Municípios;Código municipal;UF;homens para cada 100 mulheres
Alto Caparaó;3102050;MG;101,22
Alto do Rodrigues;2400703;RN;95,12
Alto Feliz;4300570;RS;103,85
Alto Garças;5100409;MT;109,54
Alto Horizonte;5200555;GO;100,79
Alto Jequitibá;3153509;MG;104,66
Alto Longá;2200301;PI;102,05
Alto Paraguai;5100508;MT;112,55
Alto Paraíso;1100403;RO;104,56
Alto Paraíso;4128625;PR;102,45
Alto Paraíso de Goiás;5200605;GO;98,96
Alto Paraná;4100608;PR;97,07
Alto Parnaíba;2100501;MA;107,3
Alto Piquiri;4100707;PR;99,77
Alto Rio Doce;3102100;MG;102,02
Alto Rio Novo;3200359;ES;99,14
Alto Santo;2300705;CE;96,71
Alto Taquari;5100607;MT;105,27
Altônia;4100509;PR;95,62
Altos;2200400;PI;99,56
Alumínio;3501152;SP;98,77
Alvarães;1300029;AM;107,94
Alvarenga;3102209;MG;98,06
Álvares Florence;3501202;SP;102,64
Álvares Machado;3501301;SP;94,35
Álvaro de Carvalho;3501400;SP;204,5
Alvinlândia;3501509;SP;97,87
Alvinópolis;3102308;MG;97,75
Alvorada;1700707;TO;96,3
Alvorada;4300604;RS;91,23
Alvorada D'Oeste;1100346;RO;101,68
Alvorada de Minas;3102407;MG;102,19
Alvorada do Gurguéia;2200459;PI;105,24
Alvorada do Norte;5200803;GO;98,96
Alvorada do Sul;4100806;PR;100,78
Amajari;1400027;RR;110
Amambai;5000609;MS;96,36
Amapá;1600105;AP;108,26
Amapá do Maranhão;2100550;MA;103,98
Amaporã;4100905;PR;99
Amaraji;2600906;PE;96,22
Amaral Ferrador;4300638;RS;105,18
Amaralina;5200829;GO;109,76
Amarante;2200509;PI;96,11
Amarante do Maranhão;2100600;MA;106,11
Amargosa;2901007;BA;92,72
Amaturá;1300060;AM;105,41
Amélia Rodrigues;2901106;BA;87,39
América Dourada;2901155;BA;101,64
Americana;3501608;SP;93,28
Americano do Brasil;5200852;GO;96,09
Américo Brasiliense;3501707;SP;97,61
Américo de Campos;3501806;SP;94,56
Ametista do Sul;4300646;RS;100,47
Amontada;2300754;CE;106,09
Amorinópolis;5200902;GO;101,68
Amparo;2500734;PB;103,09
Amparo;3501905;SP;94,56
Amparo do São Francisco;2800100;SE;100,18
Amparo do Serra;3102506;MG;97,78
Ampére;4101002;PR;97,88
Anadia;2700201;AL;93,49
Anagé;2901205;BA;101,38
Anahy;4101051;PR;97,03
Anajás;1500701;PA;107,44
Anajatuba;2100709;MA;103,47
Analândia;3502002;SP;100,92
Anamã;1300086;AM;109,73
Ananás;1701002;TO;103,01
Ananindeua;1500800;PA;90,39
Anápolis;5201108;GO;94,1
Anapu;1500859;PA;108,92
Anapurus;2100808;MA;99,67
Anastácio;5000708;MS;98,45
Anaurilândia;5000807;MS;101,18
Anchieta;3200409;ES;97,74
Anchieta;4200804;SC;100,84
Andaraí;2901304;BA;100,77
Andirá;4101101;PR;94,39
Andorinha;2901353;BA;98,97
Andradas;3102605;MG;98,09
Andradina;3502101;SP;98,71
André da Rocha;4300661;RS;109,41
Andrelândia;3102803;MG;98,32
Angatuba;3502200;SP;100,63
Angelândia;3102852;MG;97,09
Angélica;5000856;MS;104,36
Angelim;2601003;PE;96
Angelina;4200903;SC;104,43
Angical;2901403;BA;106,16
Angical do Piauí;2200608;PI;97,2
Angico;1701051;TO;111,16
Angicos;2400802;RN;93,51
Angra dos Reis;3300100;RJ;95,23
Anguera;2901502;BA;95,83
Ângulo;4101150;PR;100,56
Anhanguera;5201207;GO;103,97
Anhembi;3502309;SP;101,92
Anhumas;3502408;SP;96,05
Anicuns;5201306;GO;98,79
Anísio de Abreu;2200707;PI;103,13
Anita Garibaldi;4201000;SC;97,87
Anitápolis;4201109;SC;107,57
Anori;1300102;AM;109,53
Anta Gorda;4300703;RS;100,24
Antas;2901601;BA;100,65
Antonina;4101200;PR;99,15
Antonina do Norte;2300804;CE;96,02
Antônio Almeida;2200806;PI;102,7
Antônio Cardoso;2901700;BA;94,45
Antônio Carlos;3102902;MG;100,74
Antônio Carlos;4201208;SC;100,75
Antônio Dias;3103009;MG;103,47
Antônio Gonçalves;2901809;BA;100,15
Antônio João;5000906;MS;99,21
Antônio Martins;2400901;RN;98,28
Antônio Olinto;4101309;PR;109,87
Antônio Prado;4300802;RS;97,32
Antônio Prado de Minas;3103108;MG;103,71
Aparecida;2500775;PB;99,65
Aparecida;3502507;SP;92,15
Aparecida d'Oeste;3502606;SP;98,25
Aparecida de Goiânia;5201405;GO;96,21
Aparecida do Rio Doce;5201454;GO;99,11
Aparecida do Rio Negro;1701101;TO;108,86
Aparecida do Taboado;5001003;MS;99,32
Aperibé;3300159;RJ;94,06
Apiacá;3200508;ES;93,91
Apiacás;5100805;MT;110,69
Apiaí;3502705;SP;99,99
Apicum-Açu;2100832;MA;107,23
Apiúna;4201257;SC;100,22
Apodi;2401008;RN;97,38
Aporá;2901908;BA;101,37
Aporé;5201504;GO;106,05
Apuarema;2901957;BA;101,55
Apucarana;4101408;PR;92,37
Apuí;1300144;AM;111,66
Apuiarés;2300903;CE;101,06
Aquidabã;2800209;SE;95,52
Aquidauana;5001102;MS;99,11
Aquiraz;2301000;CE;100,21
Arabutã;4201273;SC;104,29
Araçagi;2500809;PB;97,48
Araçaí;3103207;MG;98,81
Aracaju;2800308;SE;84,81
Araçariguama;3502754;SP;100,6
Araçás;2902054;BA;93,45
Aracati;2301109;CE;95,73
Aracatu;2902005;BA;104,43
Araçatuba;3502804;SP;90,71
Araci;2902104;BA;99,56
Aracitaba;3103306;MG;94,59
Aracoiaba;2301208;CE;99,27
Araçoiaba;2601052;PE;93,96
Araçoiaba da Serra;3502903;SP;98,83
Aracruz;3200607;ES;97,95
Araçu;5201603;GO;94,82
Araçuaí;3103405;MG;96,16
Aragarças;5201702;GO;99,54
Aragoiânia;5201801;GO;99,23
Aragominas;1701309;TO;112,11
Araguacema;1701903;TO;107,96
Araguaçu;1702000;TO;106,16
Araguaiana;5101001;MT;108,98
Araguaína;1702109;TO;94,49
Araguainha;5101209;MT;113,08
Araguanã;1702158;TO;104,36
Araguanã;2100873;MA;101,31
Araguapaz;5202155;GO;99,25
Araguari;3103504;MG;95,84
Araguatins;1702208;TO;101,39
Araioses;2100907;MA;104,93
Aral Moreira;5001243;MS;100,41
Aramari;2902203;BA;93,83
Arambaré;4300851;RS;97,31
Arame;2100956;MA;106,35
Aramina;3503000;SP;94,96
Arandu;3503109;SP;100,9
Arantina;3103603;MG;100,34
Arapeí;3503158;SP;97,12
Arapiraca;2700300;AL;89,62
Arapoema;1702307;TO;105,33
Araponga;3103702;MG;104,11
Arapongas;4101507;PR;94,16
Araporã;3103751;MG;99,69
Arapoti;4101606;PR;99,47
Arapuá;3103801;MG;102,7
Arapuã;4101655;PR;94,22
Araputanga;5101258;MT;96,78
Araquari;4201307;SC;102,84
Arara;2500908;PB;91,92
Araranguá;4201406;SC;95,99
Araraquara;3503208;SP;92,17
Araras;3503307;SP;93,77
Ararendá;2301257;CE;101,09
Arari;2101004;MA;98,21
Araricá;4300877;RS;99,23
Araripe;2301307;CE;97,18
Araripina;2601102;PE;94,99
Araruama;3300209;RJ;90,78
Araruna;2501005;PB;95,02
Araruna;4101705;PR;99,27
Arataca;2902252;BA;111,78
Aratiba;4300901;RS;100,96
Aratuba;2301406;CE;100,36
Aratuípe;2902302;BA;101,84
Arauá;2800407;SE;95,38
Araucária;4101804;PR;95,82
Araújos;3103900;MG;101,03
Araxá;3104007;MG;96,37
Arceburgo;3104106;MG;99,89
Arco-Íris;3503356;SP;101,78
Arcos;3104205;MG;98,54
