Municípios;Código municipal;UF;homens para cada 100 mulheres
Branquinha;2701100;AL;96,34
Brás Pires;3108701;MG;98,05
Brasil Novo;1501725;PA;104,57
Brasilândia;5002308;MS;100,61
Brasilândia de Minas;3108552;MG;103,94
Brasilândia do Sul;4103370;PR;93,83
Brasilândia do Tocantins;1703602;TO;104,77
Brasiléia;1200104;AC;101,74
Brasileira;2201960;PI;100,48
Brasília;5300108;DF;91,06
Brasília de Minas;3108602;MG;98,49
Brasnorte;5101902;MT;105,61
Braúna;3507704;SP;96,41
Braúnas;3108800;MG;98,7
Brazabrantes;5203609;GO;98,8
Brazópolis;3108909;MG;100,56
Brejão;2602407;PE;95,16
Brejetuba;3201159;ES;105,1
Brejinho;2401800;RN;96,3
Brejinho;2602506;PE;98,71
Brejinho de Nazaré;1703701;TO;103,75
Brejo;2102101;MA;100,91
Brejo Alegre;3507753;SP;101,33
Brejo da Madre de Deus;2602605;PE;96,31
Brejo de Areia;2102150;MA;107,33
Brejo do Cruz;2502805;PB;94,55
Brejo do Piauí;2201988;PI;102,07
Brejo dos Santos;2502904;PB;95,57
Brejo Grande;2800704;SE;102,77
Brejo Grande do Araguaia;1501758;PA;102,84
Brejo Santo;2302503;CE;94,29
Brejões;2904308;BA;96,85
Brejolândia;2904407;BA;105,92
Breu Branco;1501782;PA;102,16
Breves;1501808;PA;106,94
Britânia;5203807;GO;101,38
Brochier;4302659;RS;99,68
Brodowski;3507803;SP;96,19
Brotas;3507902;SP;94,37
Brotas de Macaúbas;2904506;BA;105,29
Brumadinho;3109006;MG;100,16
Brumado;2904605;BA;95,11
Brunópolis;4202875;SC;100,73
Brusque;4202909;SC;96,07
Bueno Brandão;3109105;MG;105,25
Buenópolis;3109204;MG;98,22
Buenos Aires;2602704;PE;95,24
Buerarema;2904704;BA;95,12
Bugre;3109253;MG;102,45
Buíque;2602803;PE;98,7
Bujari;1200138;AC;108,27
Bujaru;1501907;PA;102,68
Buri;3508009;SP;100,71
Buritama;3508108;SP;94,31
Buriti;2102200;MA;104,32
Buriti Alegre;5203906;GO;100,52
Buriti Bravo;2102309;MA;99,56
Buriti de Goiás;5203939;GO;100,88
Buriti do Tocantins;1703800;TO;98,56
Buriti dos Lopes;2202000;PI;100,04
Buriti dos Montes;2202026;PI;107,48
Buriticupu;2102325;MA;100
Buritinópolis;5203962;GO;101,99
Buritirama;2904753;BA;108,66
Buritirana;2102358;MA;102,86
Buritis;1100452;RO;103,22
Buritis;3109303;MG;101,31
Buritizal;3508207;SP;95,69
Buritizeiro;3109402;MG;98,29
Butiá;4302709;RS;94,22
Caapiranga;1300839;AM;108,4
Caaporã;2503001;PB;94,13
Caarapó;5002407;MS;99,41
Caatiba;2904803;BA;105,6
Cabaceiras;2503100;PB;99,29
Cabaceiras do Paraguaçu;2904852;BA;93,29
Cabeceira Grande;3109451;MG;103,22
Cabeceiras;5204003;GO;103,94
Cabeceiras do Piauí;2202059;PI;101,82
Cabedelo;2503209;PB;90,66
Cabixi;1100031;RO;102,15
Cabo de Santo Agostinho;2602902;PE;92,43
Cabo Frio;3300704;RJ;92,05
Cabo Verde;3109501;MG;106,37
Cabrália Paulista;3508306;SP;102,5
Cabreúva;3508405;SP;98,07
Cabrobó;2603009;PE;93,46
Caçador;4203006;SC;98,21
Caçapava;3508504;SP;95,85
Caçapava do Sul;4302808;RS;94,29
Cacaulândia;1100601;RO;106,26
Cacequi;4302907;RS;100,23
Cáceres;5102504;MT;98,01
Cachoeira;2904902;BA;91,63
Cachoeira Alta;5204102;GO;105,19
Cachoeira da Prata;3109600;MG;90,36
Cachoeira de Goiás;5204201;GO;101,29
Cachoeira de Minas;3109709;MG;103,62
Cachoeira de Pajeú;3102704;MG;102,58
Cachoeira do Arari;1502004;PA;102,29
Cachoeira do Piriá;1501956;PA;111,55
Cachoeira do Sul;4303004;RS;92,17
Cachoeira dos Índios;2503308;PB;99,24
Cachoeira Dourada;3109808;MG;101,83
Cachoeira Dourada;5204250;GO;99,64
Cachoeira Grande;2102374;MA;108,44
Cachoeira Paulista;3508603;SP;93,37
Cachoeiras de Macacu;3300803;RJ;95,71
Cachoeirinha;1703826;TO;114,08
Cachoeirinha;2603108;PE;93,48
Cachoeirinha;4303103;RS;91,05
Cachoeiro de Itapemirim;3201209;ES;93,65
Cacimba de Areia;2503407;PB;100,67
Cacimba de Dentro;2503506;PB;95,71
Cacimbas;2503555;PB;93,65
Cacimbinhas;2701209;AL;95,16
Cacique Doble;4303202;RS;98,58
Cacoal;1100049;RO;95,93
Caconde;3508702;SP;98,69
Caçu;5204300;GO;99,1
Caculé;2905008;BA;97,47
Caém;2905107;BA;98,43
Caetanópolis;3109907;MG;97,22
Caetanos;2905156;BA;104,65
Caeté;3110004;MG;93,89
Caetés;2603207;PE;98,83
Caetité;2905206;BA;96,47
Cafarnaum;2905305;BA;102,13
Cafeara;4103404;PR;100,53
Cafelândia;3508801;SP;93,56
Cafelândia;4103453;PR;99,86
Cafezal do Sul;4103479;PR;95,84
Caiabu;3508900;SP;99,78
Caiana;3110103;MG;105,03
Caiapônia;5204409;GO;101,33
Caibaté;4303301;RS;101,46
Caibi;4203105;SC;100,32
Caiçara;2503605;PB;99,76
Caiçara;4303400;RS;102,43
Caiçara do Norte;2401859;RN;104,58
Caiçara do Rio do Vento;2401909;RN;101,11
Caicó;2402006;RN;90,77
Caieiras;3509007;SP;93,92
Cairu;2905404;BA;95,82
Caiuá;3509106;SP;151,43
Cajamar;3509205;SP;96,09
Cajapió;2102408;MA;101,94
Cajari;2102507;MA;103,17
Cajati;3509254;SP;101,09
Cajazeiras;2503704;PB;93,29
Cajazeiras do Piauí;2202075;PI;101,43
Cajazeirinhas;2503753;PB;101,92
Cajobi;3509304;SP;98,24
Cajueiro;2701308;AL;88,87
Cajueiro da Praia;2202083;PI;104,08
Cajuri;3110202;MG;104,71
Cajuru;3509403;SP;98,85
Calçado;2603306;PE;98,69
Calçoene;1600204;AP;110,64
Caldas;3110301;MG;103,19
Caldas Brandão;2503803;PB;94,1
Caldas Novas;5204508;GO;95,86
Caldazinha;5204557;GO;108,08
Caldeirão Grande;2905503;BA;97,61
Caldeirão Grande do Piauí;2202091;PI;100,55
Califórnia;4103503;PR;100,46
Calmon;4203154;SC;110,32
Calumbi;2603405;PE;92,92
Camacan;2905602;BA;94,83
Camaçari;2905701;BA;92,42
Camacho;3110400;MG;109,91
Camalaú;2503902;PB;95,09
Camamu;2905800;BA;95,97
Camanducaia;3110509;MG;102
Camapuã;5002605;MS;104,22
Camaquã;4303509;RS;95,53
Camaragibe;2603454;PE;88,65
Camargo;4303558;RS;99,67
Cambará;4103602;PR;96,06
Cambará do Sul;4303608;RS;104,8
Cambé;4103701;PR;93,32
Cambira;4103800;PR;98,82
Camboriú;4203204;SC;97,41
Cambuci;3300902;RJ;98,83
Cambuí;3110608;MG;97,64
Cambuquira;3110707;MG;96,04
Cametá;1502103;PA;105,35
Camocim;2302602;CE;94,62
Camocim de São Félix;2603504;PE;94,19
Campanário;3110806;MG;90,92
Campanha;3110905;MG;98,64
Campestre;2701357;AL;96,9
Campestre;3111002;MG;105,75
Campestre da Serra;4303673;RS;105,84
Campestre de Goiás;5204607;GO;105,64
Campestre do Maranhão;2102556;MA;102,22
Campina da Lagoa;4103909;PR;98,6
Campina das Missões;4303707;RS;97,71
Campina do Monte Alegre;3509452;SP;101,69
Campina do Simão;4103958;PR;114,5
Campina Grande;2504009;PB;89,79
Campina Grande do Sul;4104006;PR;95,69
Campina Verde;3111101;MG;101,92
Campinaçu;5204656;GO;107,61
Campinápolis;5102603;MT;105,17
Campinas;3509502;SP;91,1
Campinas do Piauí;2202109;PI;105,49
Campinas do Sul;4303806;RS;92,78
Campinorte;5204706;GO;100,35
Campo Alegre;2701407;AL;91,94
Campo Alegre;4203303;SC;99,54
Campo Alegre de Goiás;5204805;GO;106,91
Campo Alegre de Lourdes;2905909;BA;102,45
Campo Alegre do Fidalgo;2202117;PI;107,37
Campo Azul;3111150;MG;100,22
Campo Belo;3111200;MG;94,19
Campo Belo do Sul;4203402;SC;107,05
Campo Bom;4303905;RS;93,66
Campo Bonito;4104055;PR;100,65
Campo do Brito;2801009;SE;92,99
Campo do Meio;3111309;MG;101,65
Campo do Tenente;4104105;PR;101,77
Campo Erê;4203501;SC;101,28
Campo Florido;3111408;MG;107,2
Campo Formoso;2906006;BA;98,92
Campo Grande;2401305;RN;103,47
Campo Grande;2701506;AL;98,03
Campo Grande;5002704;MS;92,22
Campo Grande do Piauí;2202133;PI;100,07
Campo Largo;4104204;PR;96,52
Campo Largo do Piauí;2202174;PI;105,29
Campo Limpo de Goiás;5204854;GO;102,18
Campo Limpo Paulista;3509601;SP;95,31
Campo Magro;4104253;PR;99,44
Campo Maior;2202208;PI;92,25
Campo Mourão;4104303;PR;93,11
Campo Novo;4304002;RS;97,58
Campo Novo de Rondônia;1100700;RO;111,53
Campo Novo do Parecis;5102637;MT;107,55
Campo Redondo;2402105;RN;96,52
Campo Verde;5102678;MT;101,98
Campos Altos;3111507;MG;99,52
Campos Belos;5204904;GO;94,33
Campos Borges;4304101;RS;99,5
Campos de Júlio;5102686;MT;105,83
Campos do Jordão;3509700;SP;95,33
Campos dos Goytacazes;3301009;RJ;91,06
Campos Gerais;3111606;MG;101,72
Campos Lindos;1703842;TO;108,26
Campos Novos;4203600;SC;99
Campos Novos Paulista;3509809;SP;101,73
Campos Sales;2302701;CE;92,43
Campos Verdes;5204953;GO;99,45
Camutanga;2603603;PE;95,51
Cana Verde;3111903;MG;102,54
Canaã;3111705;MG;98,69
Canaã dos Carajás;1502152;PA;104,5
Canabrava do Norte;5102694;MT;110,27
Cananéia;3509908;SP;95,56
Canapi;2701605;AL;98,13
Canápolis;2906105;BA;107,83
Canápolis;3111804;MG;101,29
Canarana;2906204;BA;99,21
Canarana;5102702;MT;106,43
Canas;3509957;SP;99,96
Canavieira;2202251;PI;105,66
Canavieiras;2906303;BA;99,85
Candeal;2906402;BA;99,08
Candeias;2906501;BA;88,21
Candeias;3112000;MG;101,92
Candeias do Jamari;1100809;RO;105,77
Candelária;4304200;RS;96,05
Candiba;2906600;BA;100,86
Cândido de Abreu;4104402;PR;105,44
Cândido Godói;4304309;RS;101,41
Cândido Mendes;2102606;MA;105,87
Cândido Mota;3510005;SP;94,51
Cândido Rodrigues;3510104;SP;98,83
Cândido Sales;2906709;BA;99
Candiota;4304358;RS;104,55
Candói;4104428;PR;101,49
Canela;4304408;RS;92,72
Canelinha;4203709;SC;102,86
Canguaretama;2402204;RN;95,73
Canguçu;4304507;RS;101,1
Canhoba;2801108;SE;106,71
Canhotinho;2603702;PE;108,8
Canindé;2302800;CE;97,25
Canindé de São Francisco;2801207;SE;94,82
Canitar;3510153;SP;96,59
Canoas;4304606;RS;91,71
Canoinhas;4203808;SC;97,48
Cansanção;2906808;BA;101,13
Cantá;1400175;RR;114,17
Cantagalo;3112059;MG;100,5
Cantagalo;3301108;RJ;95,11
Cantagalo;4104451;PR;101,12
Cantanhede;2102705;MA;100,06
Canto do Buriti;2202307;PI;98,6
Canudos;2906824;BA;102,12
Canudos do Vale;4304614;RS;107,26
Canutama;1300904;AM;115,33
Capanema;1502202;PA;95,3
Capanema;4104501;PR;98,52
Capão Alto;4203253;SC;111,35
Capão Bonito;3510203;SP;98,16
Capão Bonito do Sul;4304622;RS;110,06
Capão da Canoa;4304630;RS;91,96
Capão do Cipó;4304655;RS;111,03
Capão do Leão;4304663;RS;95,74
Caparaó;3112109;MG;105,12
Capela;2701704;AL;94,16
Capela;2801306;SE;93,11
Capela de Santana;4304689;RS;102,16
Capela do Alto;3510302;SP;121,27
Capela do Alto Alegre;2906857;BA;98,93
Capela Nova;3112208;MG;95,87
Capelinha;3112307;MG;97,62
Capetinga;3112406;MG;105,71
Capim;2504033;PB;97,39
Capim Branco;3112505;MG;95,76
Capim Grosso;2906873;BA;94,6
Capinópolis;3112604;MG;97,51
Capinzal;4203907;SC;99,93
Capinzal do Norte;2102754;MA;97,47
Capistrano;2302909;CE;100,39
Capitão;4304697;RS;102,43
Capitão Andrade;3112653;MG;93,71
Capitão de Campos;2202406;PI;96,32
Capitão Enéas;3112703;MG;100,34
Capitão Gervásio Oliveira;2202455;PI;108,06
Capitão Leônidas Marques;4104600;PR;98,08
Capitão Poço;1502301;PA;103
Capitólio;3112802;MG;100,97
Capivari;3510401;SP;96,13
Capivari de Baixo;4203956;SC;92,88
Capivari do Sul;4304671;RS;98,85
Capixaba;1200179;AC;109,77
Capoeiras;2603801;PE;98,55
Caputira;3112901;MG;100,72
Caraá;4304713;RS;105,39
Caracaraí;1400209;RR;108,96
Caracol;2202505;PI;103,51
Caracol;5002803;MS;100,4
Caraguatatuba;3510500;SP;94,55
Caraí;3113008;MG;100,18
Caraíbas;2906899;BA;102,98
Carambeí;4104659;PR;99,82
Caranaíba;3113107;MG;105,82
Carandaí;3113206;MG;97,28
Carangola;3113305;MG;92,77
Carapebus;3300936;RJ;100,65
Carapicuíba;3510609;SP;92,48
Caratinga;3113404;MG;94,61
Carauari;1301001;AM;105,31
Caraúbas;2402303;RN;95,34
Caraúbas;2504074;PB;101,74
Caraúbas do Piauí;2202539;PI;102,66
Caravelas;2906907;BA;99,38
Carazinho;4304705;RS;91,26
Carbonita;3113503;MG;101,28
Cardeal da Silva;2907004;BA;93,46
Cardoso;3510708;SP;95,54
Cardoso Moreira;3301157;RJ;96,45
Careaçu;3113602;MG;102,5
Careiro;1301100;AM;108,17
Careiro da Várzea;1301159;AM;110,16
Cariacica;3201308;ES;93,06
Caridade;2303006;CE;99,87
Caridade do Piauí;2202554;PI;103,68
Carinhanha;2907103;BA;104,18
Carira;2801405;SE;96,4
Cariré;2303105;CE;100,02
Cariri do Tocantins;1703867;TO;127,28
Caririaçu;2303204;CE;95,89
Cariús;2303303;CE;102,01
Carlinda;5102793;MT;106,85
Carlópolis;4104709;PR;101,68
Carlos Barbosa;4304804;RS;98,68
Carlos Chagas;3113701;MG;100,27
Carlos Gomes;4304853;RS;107,9
Carmésia;3113800;MG;102,41
Carmo;3301207;RJ;94,17
Carmo da Cachoeira;3113909;MG;101,38
Carmo da Mata;3114006;MG;98,58
Carmo de Minas;3114105;MG;100,01
Carmo do Cajuru;3114204;MG;98,91
Carmo do Paranaíba;3114303;MG;100,96
Carmo do Rio Claro;3114402;MG;102,06
Carmo do Rio Verde;5205000;GO;102,12
Carmolândia;1703883;TO;98,47
Carmópolis;2801504;SE;91,13
Carmópolis de Minas;3114501;MG;102,42
Carnaíba;2603900;PE;95,94
Carnaúba dos Dantas;2402402;RN;98,9
Carnaubais;2402501;RN;101,16
Carnaubal;2303402;CE;98,34
Carnaubeira da Penha;2603926;PE;103,88
Carneirinho;3114550;MG;102,62
Carneiros;2701803;AL;95,84
Caroebe;1400233;RR;114,36
Carolina;2102804;MA;103,64
Carpina;2604007;PE;88,6
Carrancas;3114600;MG;98,97
Carrapateira;2504108;PB;109,99
Carrasco Bonito;1703891;TO;106,73
Caruaru;2604106;PE;88,9
Carutapera;2102903;MA;103,99
Carvalhópolis;3114709;MG;105,6
Carvalhos;3114808;MG;103,31
Casa Branca;3510807;SP;107,32
Casa Grande;3114907;MG;106,15
Casa Nova;2907202;BA;104,64
Casca;4304903;RS;95,44
Cascalho Rico;3115003;MG;101,04
Cascavel;2303501;CE;95,72
Cascavel;4104808;PR;93,91
Caseara;1703909;TO;109,46
Caseiros;4304952;RS;103,25
Casimiro de Abreu;3301306;RJ;92,63
Casinhas;2604155;PE;98,58
Casserengue;2504157;PB;99,68
Cássia;3115102;MG;100,25
Cássia dos Coqueiros;3510906;SP;104,61
Cassilândia;5002902;MS;98,86
Castanhal;1502400;PA;92,74
Castanheira;5102850;MT;106,38
Castanheiras;1100908;RO;105,27
Castelândia;5205059;GO;101,15
Castelo;3201407;ES;97,42
Castelo do Piauí;2202604;PI;98,52
Castilho;3511003;SP;97,15
Castro;4104907;PR;97,19
Castro Alves;2907301;BA;90,11
Cataguases;3115300;MG;93,08
Catalão;5205109;GO;99,64
Catanduva;3511102;SP;91,94
Catanduvas;4105003;PR;103,71
Catanduvas;4204004;SC;98,68
Catarina;2303600;CE;97,4
Catas Altas;3115359;MG;96,8
Catas Altas da Noruega;3115409;MG;97,21
Catende;2604205;PE;91,9
Catiguá;3511201;SP;99,18
Catingueira;2504207;PB;99,16
Catolândia;2907400;BA;107,87
Catolé do Rocha;2504306;PB;94,78
Catu;2907509;BA;87,67
Catuípe;4305009;RS;92,46
Catuji;3115458;MG;97,69
Catunda;2303659;CE;100,23
Caturaí;5205208;GO;101,32
Caturama;2907558;BA;103,48
Caturité;2504355;PB;97,59
Catuti;3115474;MG;99,71
Caucaia;2303709;CE;93,19
Cavalcante;5205307;GO;105,86
Caxambu;3115508;MG;91,28
Caxambu do Sul;4204103;SC;102,99
Caxias;2103000;MA;92,41
Caxias do Sul;4305108;RS;93,77
Caxingó;2202653;PI;107,16
Ceará-Mirim;2402600;RN;98,56
Cedral;2103109;MA;104,82
Cedral;3511300;SP;97,28
Cedro;2303808;CE;97,05
Cedro;2604304;PE;99,09
Cedro de São João;2801603;SE;95,18
Cedro do Abaeté;3115607;MG;104,35
Celso Ramos;4204152;SC;103,41
Centenário;1704105;TO;111,41
Centenário;4305116;RS;106,61
Centenário do Sul;4105102;PR;96,7
Central;2907608;BA;102,48
Central de Minas;3115706;MG;96,4
Central do Maranhão;2103125;MA;107,43
Centralina;3115805;MG;100,26
Centro do Guilherme;2103158;MA;105,19
Centro Novo do Maranhão;2103174;MA;109,03
Cerejeiras;1100056;RO;98,03
Ceres;5205406;GO;94,29
Cerqueira César;3511409;SP;108,52
Cerquilho;3511508;SP;94,94
Cerrito;4305124;RS;99,31
Cerro Azul;4105201;PR;107,86
Cerro Branco;4305132;RS;102,13
Cerro Corá;2402709;RN;95,45
Cerro Grande;4305157;RS;100,08
Cerro Grande do Sul;4305173;RS;107,13
Cerro Largo;4305207;RS;96,91
Cerro Negro;4204178;SC;112,76
Cesário Lange;3511607;SP;105,28
Céu Azul;4105300;PR;96,79
Cezarina;5205455;GO;102,96
Chã de Alegria;2604403;PE;94,28
Chã Grande;2604502;PE;97,73
Chã Preta;2701902;AL;99,73
Chácara;3115904;MG;97,75
Chalé;3116001;MG;100,5
Chapada;4305306;RS;95,25
Chapada da Natividade;1705102;TO;111,04
Chapada de Areia;1704600;TO;113,51
Chapada do Norte;3116100;MG;95,7
Chapada dos Guimarães;5103007;MT;102,71
Chapada Gaúcha;3116159;MG;105,92
Chapadão do Céu;5205471;GO;104,94
Chapadão do Lageado;4204194;SC;107,6
Chapadão do Sul;5002951;MS;103,3
Chapadinha;2103208;MA;96,49
Chapecó;4204202;SC;98,78
Charqueada;3511706;SP;99,55
Charqueadas;4305355;RS;115,62
Charrua;4305371;RS;102,04
Chaval;2303907;CE;100,16
Chavantes;3557204;SP;94,66
Chaves;1502509;PA;115,34
Chiador;3116209;MG;90,74
Chiapetta;4305405;RS;95,94
Chopinzinho;4105409;PR;96,45
Choró;2303931;CE;103,51
Chorozinho;2303956;CE;100,43
Chorrochó;2907707;BA;102,39
Chuí;4305439;RS;94,53
Chupinguaia;1100924;RO;103,09
Chuvisca;4305447;RS;105,41
Cianorte;4105508;PR;93
Cícero Dantas;2907806;BA;97,25
Cidade Gaúcha;4105607;PR;100,12
Cidade Ocidental;5205497;GO;94,19
Cidelândia;2103257;MA;103,73
Cidreira;4305454;RS;91,92
Cipó;2907905;BA;95,17
Cipotânea;3116308;MG;98,33
Ciríaco;4305504;RS;99,18
Claraval;3116407;MG;108,13
Claro dos Poções;3116506;MG;101,41
Cláudia;5103056;MT;107,01
Cláudio;3116605;MG;99,85
Clementina;3511904;SP;98,58
Clevelândia;4105706;PR;94,63
Coaraci;2908002;BA;91,08
Coari;1301209;AM;103,31
Cocal;2202703;PI;102,99
Cocal de Telha;2202711;PI;98,58
Cocal do Sul;4204251;SC;96,11
Cocal dos Alves;2202729;PI;98,82
Cocalinho;5103106;MT;109,71
Cocalzinho de Goiás;5205513;GO;105,37
Cocos;2908101;BA;104,39
Codajás;1301308;AM;107,85
Codó;2103307;MA;93,72
Coelho Neto;2103406;MA;97,24
Coimbra;3116704;MG;102,42
Coité do Nóia;2702009;AL;98,93
Coivaras;2202737;PI;106,16
Colares;1502608;PA;100,37
Colatina;3201506;ES;93,88
Colíder;5103205;MT;101,08
Colina;3512001;SP;93,85
Colinas;2103505;MA;95,31
Colinas;4305587;RS;100,75
Colinas do Sul;5205521;GO;106,99
Colinas do Tocantins;1705508;TO;96,88
Colméia;1716703;TO;104,88
Colniza;5103254;MT;109,34
Colômbia;3512100;SP;101,61
Colombo;4105805;PR;94,43
Colônia do Gurguéia;2202752;PI;98,84
Colônia do Piauí;2202778;PI;100,29
Colônia Leopoldina;2702108;AL;94,18
Colorado;4105904;PR;94,63
Colorado;4305603;RS;94,74
Colorado do Oeste;1100064;RO;99,22
Coluna;3116803;MG;100,71
Combinado;1705557;TO;100,51
Comendador Gomes;3116902;MG;105,41
Comendador Levy Gasparian;3300951;RJ;92,32
Comercinho;3117009;MG;101,39
Comodoro;5103304;MT;104,26
Conceição;2504405;PB;101,15
Conceição da Aparecida;3117108;MG;105,81
Conceição da Barra;3201605;ES;95,26
Conceição da Barra de Minas;3115201;MG;107,22
Conceição da Feira;2908200;BA;90,18
Conceição das Alagoas;3117306;MG;104,64
Conceição das Pedras;3117207;MG;114,55
Conceição de Ipanema;3117405;MG;100,68
Conceição de Macabu;3301405;RJ;96,87
Conceição do Almeida;2908309;BA;91,3
Conceição do Araguaia;1502707;PA;101,64
Conceição do Canindé;2202802;PI;99,84
Conceição do Castelo;3201704;ES;100,15
Conceição do Coité;2908408;BA;94,2
Conceição do Jacuípe;2908507;BA;90,63
Conceição do Lago-Açu;2103554;MA;106,49
Conceição do Mato Dentro;3117504;MG;101,47
Conceição do Pará;3117603;MG;104,49
Conceição do Rio Verde;3117702;MG;100,75
Conceição do Tocantins;1705607;TO;102,03
Conceição dos Ouros;3117801;MG;104,13
Conchal;3512209;SP;99,45
Conchas;3512308;SP;100,21
Concórdia;4204301;SC;97,31
Concórdia do Pará;1502756;PA;101,64
Condado;2504504;PB;95,6
Condado;2604601;PE;91,56
Conde;2504603;PB;97,28
Conde;2908606;BA;98,11
Condeúba;2908705;BA;97,14
Condor;4305702;RS;97,78
Cônego Marinho;3117836;MG;103,12
Confins;3117876;MG;97,47
Confresa;5103353;MT;105,95
Congo;2504702;PB;95,6
Congonhal;3117900;MG;101,11
Congonhas;3118007;MG;96,41
Congonhas do Norte;3118106;MG;102,13
Congonhinhas;4106001;PR;99,57
Conquista;3118205;MG;102,36
Conquista D'Oeste;5103361;MT;100,96
Conselheiro Lafaiete;3118304;MG;92,66
Conselheiro Mairinck;4106100;PR;99,14
Conselheiro Pena;3118403;MG;96,94
Consolação;3118502;MG;107,85
Constantina;4305801;RS;96,13
Contagem;3118601;MG;91,85
Contenda;4106209;PR;98,53
Contendas do Sincorá;2908804;BA;102,38
Coqueiral;3118700;MG;101,09
Coqueiro Baixo;4305835;RS;104,11
Coqueiro Seco;2702207;AL;96,38
Coqueiros do Sul;4305850;RS;98,47
Coração de Jesus;3118809;MG;100,74
Coração de Maria;2908903;BA;92,65
Corbélia;4106308;PR;94,18
Cordeiro;3301504;RJ;89,8
Cordeirópolis;3512407;SP;97,33
Cordeiros;2909000;BA;96,2
Cordilheira Alta;4204350;SC;104,23
Cordisburgo;3118908;MG;99,02
Cordislândia;3119005;MG;103,82
Coreaú;2304004;CE;98,16
Coremas;2504801;PB;98,2
Corguinho;5003108;MS;107,33
Coribe;2909109;BA;104,8
Corinto;3119104;MG;96,33
Cornélio Procópio;4106407;PR;91,9
Coroaci;3119203;MG;104,32
Coroados;3512506;SP;97,8
Coroatá;2103604;MA;97,25
Coromandel;3119302;MG;101,18
Coronel Barros;4305871;RS;97,76
Coronel Bicaco;4305900;RS;98,58
Coronel Domingos Soares;4106456;PR;111,89
Coronel Ezequiel;2402808;RN;101,3
Coronel Fabriciano;3119401;MG;91,1
Coronel Freitas;4204400;SC;100,7
Coronel João Pessoa;2402907;RN;101,47
Coronel João Sá;2909208;BA;105,17
Coronel José Dias;2202851;PI;110,6
Coronel Macedo;3512605;SP;101,98
Coronel Martins;4204459;SC;102,25
Coronel Murta;3119500;MG;102,32
Coronel Pacheco;3119609;MG;95,47
Coronel Pilar;4305934;RS;106,56
Coronel Sapucaia;5003157;MS;96,98
Coronel Vivida;4106506;PR;93,91
Coronel Xavier Chaves;3119708;MG;97,96
Córrego Danta;3119807;MG;110,83
Córrego do Bom Jesus;3119906;MG;104,99
Córrego do Ouro;5205703;GO;101,64
Córrego Fundo;3119955;MG;101,81
Córrego Novo;3120003;MG;100,91
Correia Pinto;4204558;SC;99,35
Corrente;2202901;PI;102,19
Correntes;2604700;PE;100,39
Correntina;2909307;BA;100,55
Cortês;2604809;PE;94,21
Corumbá;5003207;MS;98,17
Corumbá de Goiás;5205802;GO;104,89
Corumbaíba;5205901;GO;103,69
Corumbataí;3512704;SP;99,95
Corumbataí do Sul;4106555;PR;100,64
Corumbiara;1100072;RO;108,63
Corupá;4204509;SC;100,01
Coruripe;2702306;AL;93,13
Cosmópolis;3512803;SP;96,35
Cosmorama;3512902;SP;99,06
Costa Marques;1100080;RO;107,41
Costa Rica;5003256;MS;103,02
Cotegipe;2909406;BA;105,36
Cotia;3513009;SP;93,97
Cotiporã;4305959;RS;104,36
Cotriguaçu;5103379;MT;109,69
Couto de Magalhães de Minas;3120102;MG;95,08
Couto Magalhães;1706001;TO;108,08
Coxilha;4305975;RS;100,53
Coxim;5003306;MS;98,51
Coxixola;2504850;PB;107,51
Craíbas;2702355;AL;97,41
Crateús;2304103;CE;94,77
Crato;2304202;CE;89,17
Cravinhos;3513108;SP;96,86
Cravolândia;2909505;BA;98,34
Criciúma;4204608;SC;95,08
Crisólita;3120151;MG;109,18
Crisópolis;2909604;BA;100,54
Crissiumal;4306007;RS;96,43
Cristais;3120201;MG;101,1
Cristais Paulista;3513207;SP;98,42
Cristal;4306056;RS;99,92
Cristal do Sul;4306072;RS;96,21
Cristalândia;1706100;TO;103,42
Cristalândia do Piauí;2203008;PI;110,71
Cristália;3120300;MG;102,97
Cristalina;5206206;GO;102,98
Cristiano Otoni;3120409;MG;97,25
Cristianópolis;5206305;GO;101,03
Cristina;3120508;MG;105,71
Cristinápolis;2801702;SE;97,48
Cristino Castro;2203107;PI;100,59
Cristópolis;2909703;BA;105,42
Crixás;5206404;GO;105,21
Crixás do Tocantins;1706258;TO;103,88
Croatá;2304236;CE;99,71
Cromínia;5206503;GO;99,54
Crucilândia;3120607;MG;101,86
Cruz;2304251;CE;97,38
Cruz Alta;4306106;RS;90,08
Cruz das Almas;2909802;BA;87,22
Cruz do Espírito Santo;2504900;PB;98,64
Cruz Machado;4106803;PR;107,8
Cruzália;3513306;SP;95,55
Cruzaltense;4306130;RS;103,36
Cruzeiro;3513405;SP;92,32
Cruzeiro da Fortaleza;3120706;MG;106,39
Cruzeiro do Iguaçu;4106571;PR;100,34
Cruzeiro do Oeste;4106605;PR;107,7
Cruzeiro do Sul;1200203;AC;99,58
Cruzeiro do Sul;4106704;PR;97,63
Cruzeiro do Sul;4306205;RS;99,93
Cruzeta;2403004;RN;96,01
Cruzília;3120805;MG;97,43
Cruzmaltina;4106852;PR;104,53
Cubatão;3513504;SP;92,33
Cubati;2505006;PB;98,9
Cuiabá;5103403;MT;94,36
Cuité;2505105;PB;94,7
Cuité de Mamanguape;2505238;PB;100,74
Cuitegi;2505204;PB;97,71
Cujubim;1100940;RO;107,38
Cumari;5206602;GO;102,84
Cumaru;2604908;PE;98,18
